CAN Message; 0x1a7:0000cfb879748b76
Timestamp;Amplitude
1739209868.7511437;-38.13080360867914
1739209868.7511508;-45.120503652039325
1739209868.7511578;-38.13080360867914
1739209868.751165;-35.57807855764607
1739209868.7511718;-35.57807855764607
1739209868.7511787;-45.120503652039325
1739209868.751186;-45.120503652039325
1739209868.7511928;-45.120503652039325
1739209868.7512;-31.141103565318915
1739209868.7512069;-35.57807855764607
1739209868.751214;-45.120503652039325
1739209868.751221;-32.816014438256545
1739209868.7512279;-33.981070128970906
1739209868.751235;-45.120503652039325
1739209868.751242;-33.981070128970906
1739209868.751249;-33.981070128970906
1739209868.751256;-45.120503652039325
1739209868.751263;-45.120503652039325
1739209868.75127;-38.13080360867914
1739209868.751277;-28.588378514285886
1739209868.7512841;-30.49652367304973
1739209868.751291;-45.120503652039325
1739209868.7512982;-38.13080360867914
1739209868.751305;-35.57807855764607
1739209868.751312;-31.141103565318915
1739209868.7513192;-45.120503652039325
1739209868.751326;-28.992665084841942
1739209868.7513332;-45.120503652039325
1739209868.7513402;-28.992665084841942
1739209868.751347;-30.49652367304973
1739209868.7513542;-32.816014438256545
1739209868.7513611;-31.141103565318915
1739209868.7513683;-30.49652367304973
1739209868.7513752;-33.981070128970906
1739209868.751382;-24.589719217205094
1739209868.7513893;-28.21854285175415
1739209868.7513962;-38.13080360867914
1739209868.7514033;-25.826314394896357
1739209868.7514102;-25.826314394896357
1739209868.7514174;-31.141103565318915
1739209868.7514243;-32.81601443825658
1739209868.7514312;-33.981070128970906
1739209868.7514384;-27.8777449560314
1739209868.7514453;-45.120503652039325
1739209868.7514524;-29.438486411369333
1739209868.7514594;-35.57807855764607
1739209868.7514663;-33.981070128970956
1739209868.7514734;-45.120503652039325
1739209868.7514803;-38.13080360867914
1739209868.7514875;-24.292649948874775
1739209868.7514944;-33.981070128970906
1739209868.7515013;-32.816014438256545
1739209868.7515085;-28.21854285175415
1739209868.7515154;-45.120503652039325
1739209868.7515225;-27.267205301931607
1739209868.7515295;-31.141103565318893
1739209868.7515366;-33.981070128970906
1739209868.7515435;-33.981070128970906
1739209868.7515504;-38.13080360867914
1739209868.7515576;-38.13080360867914
1739209868.7515645;-33.981070128970906
1739209868.7515717;-35.57807855764607
1739209868.7515786;-32.816014438256545
1739209868.7515855;-45.120503652039325
1739209868.7515926;-38.13080360867914
1739209868.7515996;-33.981070128970956
1739209868.7516067;-32.816014438256545
1739209868.7516136;-45.120503652039325
1739209868.7516208;-45.120503652039325
1739209868.7516277;-38.13080360867914
1739209868.7516346;-38.13080360867914
1739209868.7516418;-45.120503652039325
1739209868.7516487;-26.991370085610722
1739209868.7516558;-24.746238672633048
1739209868.7516627;-28.992665084841942
1739209868.7516696;-45.120503652039325
1739209868.7516768;-26.991370085610722
1739209868.7516837;-28.992665084841942
1739209868.7516909;-35.57807855764607
1739209868.7516978;-32.816014438256545
1739209868.7517047;-28.992665084841942
1739209868.7517118;-25.62660358559016
1739209868.7517188;-32.816014438256545
1739209868.751726;-35.57807855764607
1739209868.7517328;-45.120503652039325
1739209868.75174;-38.13080360867914
1739209868.751747;-31.141103565318943
1739209868.7517538;-31.141103565318915
1739209868.751761;-31.141103565318943
1739209868.7517679;-38.13080360867914
1739209868.751775;-38.13080360867914
1739209868.751782;-24.15140352195872
1739209868.7517889;-32.816014438256545
1739209868.751796;-38.13080360867914
1739209868.751803;-26.487275050834715
1739209868.75181;-45.120503652039325
1739209868.751817;-38.13080360867914
1739209868.751824;-24.589719217205094
1739209868.751831;-30.49652367304976
1739209868.751838;-24.589719217205094
1739209868.7518451;-25.826314394896357
1739209868.751852;-45.120503652039325
1739209868.7518592;-30.49652367304973
1739209868.751866;-33.981070128970906
1739209868.751873;-38.13080360867914
1739209868.7518802;-45.120503652039325
1739209868.751887;-33.981070128970906
1739209868.7518942;-32.816014438256545
1739209868.7519011;-45.120503652039325
1739209868.751908;-29.438486411369333
1739209868.7519152;-28.58837851428586
1739209868.7519221;-32.816014438256545
1739209868.7519293;-30.49652367304973
1739209868.7519362;-31.141103565318893
1739209868.7519433;-45.120503652039325
1739209868.7519503;-32.81601443825658
1739209868.7519572;-38.13080360867914
1739209868.7519643;-28.992665084841967
1739209868.7519712;-38.13080360867914
1739209868.7519784;-32.816014438256545
1739209868.7519853;-30.49652367304973
1739209868.7519922;-38.13080360867914
1739209868.7519994;-38.13080360867914
1739209868.7520063;-30.49652367304973
1739209868.7520134;-31.141103565318915
1739209868.7520204;-38.13080360867914
1739209868.7520273;-45.120503652039325
1739209868.7520344;-33.981070128970906
1739209868.7520413;-45.120503652039325
1739209868.7520485;-26.991370085610736
1739209868.7520554;-45.120503652039325
1739209868.7520626;-38.13080360867914
1739209868.7520695;-29.438486411369347
1739209868.7520764;-27.267205301931607
1739209868.7520835;-38.13080360867914
1739209868.7520905;-27.877744956031414
1739209868.7520976;-23.50682362968953
1739209868.7521045;-28.992665084841942
1739209868.7521114;-33.981070128970906
1739209868.7521186;-38.13080360867914
1739209868.7521255;-28.58837851428586
1739209868.7521327;-33.981070128970906
1739209868.7521396;-31.141103565318915
1739209868.7521465;-31.141103565318893
1739209868.7521536;-30.49652367304973
1739209868.7521605;-32.816014438256545
1739209868.7521677;-45.120503652039325
1739209868.7521746;-31.141103565318915
1739209868.7521818;-26.991370085610736
1739209868.7521887;-27.267205301931607
1739209868.7521956;-28.992665084841942
1739209868.7522027;-45.120503652039325
1739209868.7522097;-45.120503652039325
1739209868.7522168;-28.58837851428586
1739209868.7522237;-28.21854285175415
1739209868.7522306;-28.992665084841942
1739209868.7522378;-38.13080360867914
1739209868.7522447;-45.120503652039325
1739209868.7522519;-35.57807855764607
1739209868.7522588;-38.13080360867914
1739209868.752266;-38.13080360867914
1739209868.7522728;-32.81601443825658
1739209868.7522798;-26.991370085610722
1739209868.752287;-30.49652367304973
1739209868.7522938;-28.992665084841942
1739209868.752301;-32.81601443825658
1739209868.752308;-38.13080360867914
1739209868.7523148;-38.13080360867914
1739209868.752322;-45.120503652039325
1739209868.7523289;-45.120503652039325
1739209868.752336;-23.506823629689542
1739209868.752343;-28.992665084841942
1739209868.7523499;-33.981070128970956
1739209868.752357;-31.141103565318915
1739209868.752364;-31.141103565318893
1739209868.752371;-38.13080360867914
1739209868.752378;-31.141103565318915
1739209868.7523851;-38.13080360867914
1739209868.752392;-45.120503652039325
1739209868.752399;-32.816014438256545
1739209868.7524061;-38.13080360867914
1739209868.752413;-33.981070128970906
1739209868.7524202;-30.49652367304973
1739209868.752427;-45.120503652039325
1739209868.752434;-25.826314394896357
1739209868.7524412;-30.49652367304973
1739209868.752448;-45.120503652039325
1739209868.7524552;-33.981070128970906
1739209868.7524621;-25.826314394896357
1739209868.752469;-38.13080360867914
1739209868.7524762;-45.120503652039325
1739209868.7524831;-38.13080360867914
1739209868.7524903;-31.14110356531892
1739209868.7524972;-38.13080360867914
1739209868.7525043;-32.816014438256545
1739209868.7525113;-45.120503652039325
1739209868.7525182;-45.120503652039325
1739209868.7525253;-38.13080360867914
1739209868.7525322;-33.981070128970906
1739209868.7525394;-45.120503652039325
1739209868.7525463;-38.13080360867914
1739209868.7525532;-38.13080360867914
1739209868.7525604;-32.816014438256545
1739209868.7525673;-45.120503652039325
1739209868.7525744;-45.120503652039325
1739209868.7525814;-45.120503652039325
1739209868.7525885;-33.981070128970906
1739209868.7525954;-29.438486411369333
1739209868.7526023;-38.13080360867914
1739209868.7526095;-30.49652367304976
1739209868.7526164;-32.816014438256545
1739209868.7526236;-33.981070128970906
1739209868.7526305;-31.141103565318915
1739209868.7526374;-33.981070128970956
1739209868.7526445;-35.57807855764607
1739209868.7526515;-31.141103565318915
1739209868.7526586;-26.991370085610736
1739209868.7526655;-25.62660358559016
1739209868.7526724;-38.13080360867914
1739209868.7526796;-27.877744956031417
1739209868.7526865;-38.13080360867914
1739209868.7526937;-26.035653463252796
1739209868.7527006;-33.981070128970906
1739209868.7527077;-45.120503652039325
1739209868.7527146;-31.141103565318915
1739209868.7527215;-38.13080360867914
1739209868.7527287;-35.57807855764607
1739209868.7527356;-29.438486411369333
1739209868.7527428;-45.120503652039325
1739209868.7527497;-33.981070128970906
1739209868.7527566;-32.816014438256545
1739209868.7527637;-45.120503652039325
1739209868.7527707;-38.13080360867914
1739209868.7527778;-38.13080360867914
1739209868.7527847;-27.8777449560314
1739209868.7527916;-38.13080360867914
1739209868.7527988;-38.13080360867914
1739209868.7528057;-45.120503652039325
1739209868.7528129;-45.120503652039325
1739209868.7528198;-33.981070128970906
1739209868.752827;-38.13080360867914
1739209868.7528338;-31.141103565318893
1739209868.7528408;-45.120503652039325
1739209868.752848;-38.13080360867914
1739209868.7528548;-45.120503652039325
1739209868.752862;-38.13080360867914
1739209868.752869;-45.120503652039325
1739209868.7528758;-45.120503652039325
1739209868.752883;-38.13080360867914
1739209868.7528899;-33.981070128970906
1739209868.752897;-32.816014438256545
1739209868.752904;-45.120503652039325
1739209868.752911;-31.141103565318915
1739209868.752918;-27.8777449560314
1739209868.752925;-31.14110356531892
1739209868.752932;-31.141103565318893
1739209868.752939;-31.141103565318915
1739209868.7529461;-31.141103565318915
1739209868.752953;-31.14110356531892
1739209868.75296;-27.267205301931607
1739209868.7529671;-38.13080360867914
1739209868.752974;-38.13080360867914
1739209868.7529812;-26.991370085610736
1739209868.752988;-31.141103565318915
1739209868.752995;-33.981070128970956
1739209868.7530022;-45.120503652039325
1739209868.753009;-38.13080360867914
1739209868.7530162;-45.120503652039325
1739209868.7530231;-45.120503652039325
1739209868.7530303;-28.21854285175415
1739209868.7530372;-33.981070128970906
1739209868.7530441;-45.120503652039325
1739209868.7530513;-35.57807855764607
1739209868.7530582;-38.13080360867914
1739209868.7530653;-45.120503652039325
1739209868.7530723;-30.49652367304973
1739209868.7530792;-45.120503652039325
1739209868.7530863;-45.120503652039325
1739209868.7530932;-38.13080360867914
1739209868.7531004;-35.57807855764607
1739209868.7531073;-38.13080360867914
1739209868.7531142;-45.120503652039325
1739209868.7531214;-38.13080360867914
1739209868.7531283;-45.120503652039325
1739209868.7531354;-45.120503652039325
1739209868.7531424;-38.13080360867914
1739209868.7531495;-38.13080360867914
1739209868.7531564;-38.13080360867914
1739209868.7531633;-45.120503652039325
1739209868.7531705;-45.120503652039325
1739209868.7531774;-45.120503652039325
1739209868.7531846;-27.8777449560314
1739209868.7531915;-35.57807855764607
1739209868.7531984;-45.120503652039325
1739209868.7532055;-35.57807855764607
1739209868.7532125;-38.13080360867914
1739209868.7532196;-38.13080360867914
1739209868.7532265;-38.13080360867914
1739209868.7532337;-33.981070128970906
1739209868.7532406;-45.120503652039325
1739209868.7532475;-45.120503652039325
1739209868.7532547;-38.13080360867914
1739209868.7532616;-38.13080360867914
1739209868.7532687;-45.120503652039325
1739209868.7532756;-45.120503652039325
1739209868.7532825;-45.120503652039325
1739209868.7532897;-45.120503652039325
1739209868.7532966;-38.13080360867914
1739209868.7533038;-45.120503652039325
1739209868.7533107;-45.120503652039325
1739209868.7533176;-38.13080360867914
1739209868.7533247;-35.57807855764607
1739209868.7533317;-38.13080360867914
1739209868.7533388;-33.981070128970906
1739209868.7533457;-45.120503652039325
1739209868.7533529;-32.816014438256545
1739209868.7533598;-33.981070128970906
1739209868.7533667;-33.981070128970906
1739209868.7533739;-38.13080360867914
1739209868.7533808;-38.13080360867914
1739209868.753388;-35.57807855764607
1739209868.7533948;-45.120503652039325
1739209868.7534018;-45.120503652039325
1739209868.753409;-45.120503652039325
1739209868.7534158;-45.120503652039325
1739209868.753423;-35.57807855764607
1739209868.75343;-35.57807855764607
1739209868.7534368;-38.13080360867914
1739209868.753444;-38.13080360867914
1739209868.7534509;-45.120503652039325
1739209868.753458;-45.120503652039325
1739209868.753465;-31.141103565318893
1739209868.753472;-32.816014438256545
1739209868.753479;-45.120503652039325
1739209868.753486;-38.13080360867914
1739209868.753493;-33.981070128970906
1739209868.7535;-33.981070128970906
1739209868.7535071;-33.981070128970906
1739209868.753514;-32.816014438256545
1739209868.753521;-45.120503652039325
1739209868.753528;-45.120503652039325
1739209868.753535;-31.141103565318893
1739209868.7535422;-33.981070128970906
1739209868.753549;-45.120503652039325
1739209868.7535563;-45.120503652039325
1739209868.7535632;-35.57807855764607
1739209868.75357;-38.13080360867914
1739209868.7535772;-45.120503652039325
1739209868.7535841;-38.13080360867914
1739209868.7535913;-45.120503652039325
1739209868.7535982;-45.120503652039325
1739209868.7536051;-38.13080360867914
1739209868.7536123;-45.120503652039325
1739209868.7536192;-45.120503652039325
1739209868.7536263;-45.120503652039325
1739209868.7536333;-35.57807855764607
1739209868.7536402;-32.816014438256545
1739209868.7536473;-45.120503652039325
1739209868.7536542;-45.120503652039325
1739209868.7536614;-38.13080360867914
1739209868.7536683;-35.57807855764607
1739209868.7536755;-38.13080360867914
1739209868.7536824;-45.120503652039325
1739209868.7536893;-45.120503652039325
1739209868.7536964;-31.141103565318943
1739209868.7537034;-45.120503652039325
1739209868.7537105;-45.120503652039325
1739209868.7537174;-38.13080360867914
1739209868.7537243;-45.120503652039325
1739209868.7537315;-38.13080360867914
1739209868.7537384;-45.120503652039325
1739209868.7537456;-32.816014438256545
1739209868.7537525;-26.487275050834715
1739209868.7537594;-45.120503652039325
1739209868.7537665;-38.13080360867914
1739209868.7537735;-35.57807855764607
1739209868.7537806;-32.816014438256545
1739209868.7537875;-45.120503652039325
1739209868.7537947;-45.120503652039325
1739209868.7538016;-45.120503652039325
1739209868.7538085;-35.57807855764607
1739209868.7538157;-38.13080360867914
1739209868.7538226;-45.120503652039325
1739209868.7538297;-45.120503652039325
1739209868.7538366;-45.120503652039325
1739209868.7538435;-38.13080360867914
1739209868.7538507;-45.120503652039325
1739209868.7538576;-45.120503652039325
1739209868.7538648;-45.120503652039325
1739209868.7538717;-38.13080360867914
1739209868.7538788;-38.13080360867914
1739209868.7538857;-45.120503652039325
1739209868.7538927;-45.120503652039325
1739209868.7538998;-45.120503652039325
1739209868.7539067;-45.120503652039325
1739209868.7539139;-38.13080360867914
1739209868.7539208;-38.13080360867914
1739209868.7539277;-45.120503652039325
1739209868.7539349;-45.120503652039325
1739209868.7539418;-45.120503652039325
1739209868.753949;-31.141103565318915
1739209868.7539558;-38.13080360867914
1739209868.7539628;-38.13080360867914
1739209868.75397;-45.120503652039325
1739209868.7539768;-45.120503652039325
1739209868.753984;-45.120503652039325
1739209868.753991;-38.13080360867914
1739209868.753998;-45.120503652039325
1739209868.754005;-45.120503652039325
1739209868.7540119;-38.13080360867914
1739209868.754019;-38.13080360867914
1739209868.754026;-38.13080360867914
1739209868.754033;-33.981070128970906
1739209868.75404;-35.57807855764607
1739209868.754047;-38.13080360867914
1739209868.754054;-45.120503652039325
1739209868.754061;-33.981070128970906
1739209868.7540681;-38.13080360867914
1739209868.754075;-45.120503652039325
1739209868.754082;-38.13080360867914
1739209868.754089;-45.120503652039325
1739209868.754096;-45.120503652039325
1739209868.7541032;-38.13080360867914
1739209868.75411;-38.13080360867914
1739209868.7541173;-45.120503652039325
1739209868.7541242;-38.13080360867914
1739209868.754131;-45.120503652039325
1739209868.7541382;-45.120503652039325
1739209868.7541451;-45.120503652039325
1739209868.7541523;-35.57807855764607
1739209868.7541592;-45.120503652039325
1739209868.7541661;-45.120503652039325
1739209868.7541733;-38.13080360867914
1739209868.7541802;-33.981070128970906
1739209868.7541873;-38.13080360867914
1739209868.7541943;-45.120503652039325
1739209868.7542014;-45.120503652039325
1739209868.7542083;-38.13080360867914
1739209868.7542152;-38.13080360867914
1739209868.7542224;-45.120503652039325
1739209868.7542293;-38.13080360867914
1739209868.7542365;-45.120503652039325
1739209868.7542434;-38.13080360867914
1739209868.7542503;-38.13080360867914
1739209868.7542574;-38.13080360867914
1739209868.7542644;-45.120503652039325
1739209868.7542715;-45.120503652039325
1739209868.7542784;-38.13080360867914
1739209868.7542853;-33.981070128970906
1739209868.7542925;-45.120503652039325
1739209868.7542994;-45.120503652039325
1739209868.7543066;-35.57807855764607
1739209868.7543135;-38.13080360867914
1739209868.7543206;-33.981070128970906
1739209868.7543275;-38.13080360867914
