CAN Message; 0x1d3:000037c020b333a5
Timestamp;Amplitude
1739209775.548684;-38.13080360867914
1739209775.54869;-38.13080360867914
1739209775.5486965;-45.120503652039325
1739209775.5487027;-45.120503652039325
1739209775.5487092;-45.120503652039325
1739209775.5487154;-45.120503652039325
1739209775.5487218;-38.13080360867914
1739209775.548728;-38.13080360867914
1739209775.5487344;-33.981070128970906
1739209775.5487406;-31.141103565318915
1739209775.548747;-35.57807855764607
1739209775.5487533;-45.120503652039325
1739209775.5487597;-38.13080360867914
1739209775.548766;-38.13080360867914
1739209775.5487723;-45.120503652039325
1739209775.5487785;-38.13080360867914
1739209775.548785;-38.13080360867914
1739209775.5487914;-33.981070128970906
1739209775.5487976;-38.13080360867914
1739209775.548804;-38.13080360867914
1739209775.5488102;-38.13080360867914
1739209775.5488167;-45.120503652039325
1739209775.5488229;-45.120503652039325
1739209775.5488293;-45.120503652039325
1739209775.5488355;-38.13080360867914
1739209775.548842;-45.120503652039325
1739209775.5488482;-45.120503652039325
1739209775.5488546;-38.13080360867914
1739209775.5488608;-45.120503652039325
1739209775.5488672;-45.120503652039325
1739209775.5488734;-45.120503652039325
1739209775.5488799;-38.13080360867914
1739209775.5488863;-38.13080360867914
1739209775.5488925;-38.13080360867914
1739209775.548899;-45.120503652039325
1739209775.5489051;-45.120503652039325
1739209775.5489116;-33.981070128970906
1739209775.5489178;-32.816014438256545
1739209775.5489242;-38.13080360867914
1739209775.5489304;-38.13080360867914
1739209775.5489368;-38.13080360867914
1739209775.548943;-38.13080360867914
1739209775.5489495;-45.120503652039325
1739209775.5489557;-38.13080360867914
1739209775.548962;-38.13080360867914
1739209775.5489683;-45.120503652039325
1739209775.5489748;-45.120503652039325
1739209775.5489812;-31.141103565318915
1739209775.5489874;-27.8777449560314
1739209775.5489938;-38.13080360867914
1739209775.549;-38.13080360867914
1739209775.5490065;-38.13080360867914
1739209775.5490127;-35.57807855764607
1739209775.549019;-45.120503652039325
1739209775.5490253;-45.120503652039325
1739209775.5490317;-38.13080360867914
1739209775.549038;-33.981070128970906
1739209775.5490444;-35.57807855764607
1739209775.5490506;-38.13080360867914
1739209775.549057;-38.13080360867914
1739209775.5490632;-38.13080360867914
1739209775.5490696;-33.981070128970906
1739209775.5490758;-35.57807855764607
1739209775.5490823;-45.120503652039325
1739209775.5490887;-35.57807855764607
1739209775.549095;-45.120503652039325
1739209775.5491014;-45.120503652039325
1739209775.5491076;-33.981070128970906
1739209775.549114;-38.13080360867914
1739209775.5491202;-45.120503652039325
1739209775.5491266;-45.120503652039325
1739209775.5491328;-38.13080360867914
1739209775.5491393;-45.120503652039325
1739209775.5491455;-30.49652367304973
1739209775.549152;-32.816014438256545
1739209775.549158;-45.120503652039325
1739209775.5491645;-45.120503652039325
1739209775.5491707;-38.13080360867914
1739209775.5491772;-38.13080360867914
1739209775.5491834;-38.13080360867914
1739209775.5491898;-45.120503652039325
1739209775.5491962;-33.981070128970906
1739209775.5492024;-29.438486411369333
1739209775.5492089;-45.120503652039325
1739209775.549215;-45.120503652039325
1739209775.5492215;-38.13080360867914
1739209775.5492277;-35.57807855764607
1739209775.5492342;-45.120503652039325
1739209775.5492404;-38.13080360867914
1739209775.5492468;-45.120503652039325
1739209775.549253;-38.13080360867914
1739209775.5492594;-33.981070128970906
1739209775.5492656;-45.120503652039325
1739209775.549272;-45.120503652039325
1739209775.5492783;-38.13080360867914
1739209775.5492847;-38.13080360867914
1739209775.5492911;-45.120503652039325
1739209775.5492973;-32.816014438256545
1739209775.5493038;-29.438486411369333
1739209775.54931;-45.120503652039325
1739209775.5493164;-45.120503652039325
1739209775.5493226;-35.57807855764607
1739209775.549329;-35.57807855764607
1739209775.5493352;-45.120503652039325
1739209775.5493417;-38.13080360867914
1739209775.5493479;-38.13080360867914
1739209775.5493543;-45.120503652039325
1739209775.5493605;-38.13080360867914
1739209775.549367;-45.120503652039325
1739209775.5493731;-45.120503652039325
1739209775.5493796;-35.57807855764607
1739209775.549386;-45.120503652039325
1739209775.5493922;-45.120503652039325
1739209775.5493987;-45.120503652039325
1739209775.5494049;-35.57807855764607
1739209775.5494113;-38.13080360867914
1739209775.5494175;-35.57807855764607
1739209775.549424;-45.120503652039325
1739209775.5494301;-38.13080360867914
1739209775.5494366;-32.816014438256545
1739209775.5494428;-38.13080360867914
1739209775.5494492;-38.13080360867914
1739209775.5494554;-31.141103565318893
1739209775.5494618;-45.120503652039325
1739209775.549468;-38.13080360867914
1739209775.5494745;-38.13080360867914
1739209775.5494807;-45.120503652039325
1739209775.549487;-38.13080360867914
1739209775.5494936;-38.13080360867914
1739209775.5494998;-38.13080360867914
1739209775.5495062;-38.13080360867914
1739209775.5495124;-38.13080360867914
1739209775.5495188;-45.120503652039325
1739209775.549525;-38.13080360867914
1739209775.5495315;-38.13080360867914
1739209775.5495377;-38.13080360867914
1739209775.549544;-32.816014438256545
1739209775.5495503;-45.120503652039325
1739209775.5495567;-45.120503652039325
1739209775.549563;-38.13080360867914
1739209775.5495694;-35.57807855764607
1739209775.5495756;-38.13080360867914
1739209775.549582;-45.120503652039325
1739209775.5495882;-33.981070128970906
1739209775.5495946;-45.120503652039325
1739209775.549601;-38.13080360867914
1739209775.5496073;-35.57807855764607
1739209775.5496137;-38.13080360867914
1739209775.54962;-35.57807855764607
1739209775.5496264;-45.120503652039325
1739209775.5496325;-45.120503652039325
1739209775.549639;-38.13080360867914
1739209775.5496452;-31.141103565318893
1739209775.5496516;-45.120503652039325
1739209775.5496578;-45.120503652039325
1739209775.5496643;-45.120503652039325
1739209775.5496705;-45.120503652039325
1739209775.549677;-45.120503652039325
1739209775.549683;-32.816014438256545
1739209775.5496895;-45.120503652039325
1739209775.549696;-45.120503652039325
1739209775.5497022;-38.13080360867914
1739209775.5497086;-33.981070128970906
1739209775.5497148;-33.981070128970906
1739209775.5497212;-45.120503652039325
1739209775.5497274;-33.981070128970906
1739209775.5497339;-38.13080360867914
1739209775.54974;-33.981070128970906
1739209775.5497465;-38.13080360867914
1739209775.5497527;-35.57807855764607
1739209775.5497591;-33.981070128970906
1739209775.5497653;-45.120503652039325
1739209775.5497718;-45.120503652039325
1739209775.549778;-45.120503652039325
1739209775.5497844;-45.120503652039325
1739209775.5497909;-45.120503652039325
1739209775.549797;-45.120503652039325
1739209775.5498035;-33.981070128970906
1739209775.5498097;-32.816014438256545
1739209775.5498161;-33.981070128970906
1739209775.5498223;-38.13080360867914
1739209775.5498288;-45.120503652039325
1739209775.549835;-33.981070128970906
1739209775.5498414;-38.13080360867914
1739209775.5498476;-45.120503652039325
1739209775.549854;-35.57807855764607
1739209775.5498602;-33.981070128970906
1739209775.5498667;-33.981070128970906
1739209775.5498729;-45.120503652039325
1739209775.5498793;-38.13080360867914
1739209775.5498855;-32.816014438256545
1739209775.549892;-45.120503652039325
1739209775.5498984;-45.120503652039325
1739209775.5499046;-45.120503652039325
1739209775.549911;-38.13080360867914
1739209775.5499172;-30.49652367304973
1739209775.5499237;-35.57807855764607
1739209775.5499299;-45.120503652039325
1739209775.5499363;-38.13080360867914
1739209775.5499425;-38.13080360867914
1739209775.549949;-38.13080360867914
1739209775.5499551;-45.120503652039325
1739209775.5499616;-38.13080360867914
1739209775.5499678;-31.141103565318915
1739209775.5499742;-45.120503652039325
1739209775.5499804;-38.13080360867914
1739209775.5499868;-38.13080360867914
1739209775.549993;-38.13080360867914
1739209775.5499995;-35.57807855764607
1739209775.550006;-38.13080360867914
1739209775.550012;-45.120503652039325
1739209775.5500185;-38.13080360867914
1739209775.5500247;-38.13080360867914
1739209775.5500312;-45.120503652039325
1739209775.5500374;-45.120503652039325
1739209775.5500438;-38.13080360867914
1739209775.55005;-35.57807855764607
1739209775.5500565;-38.13080360867914
1739209775.5500627;-38.13080360867914
1739209775.550069;-28.992665084841942
1739209775.5500753;-45.120503652039325
1739209775.5500817;-45.120503652039325
1739209775.550088;-45.120503652039325
1739209775.5500944;-33.981070128970906
1739209775.5501008;-38.13080360867914
1739209775.550107;-38.13080360867914
1739209775.5501134;-45.120503652039325
1739209775.5501196;-31.14110356531892
1739209775.550126;-38.13080360867914
1739209775.5501323;-38.13080360867914
1739209775.5501387;-45.120503652039325
1739209775.550145;-38.13080360867914
1739209775.5501513;-35.57807855764607
1739209775.5501575;-45.120503652039325
1739209775.550164;-45.120503652039325
1739209775.5501702;-33.981070128970906
1739209775.5501766;-45.120503652039325
1739209775.5501828;-38.13080360867914
1739209775.5501893;-45.120503652039325
1739209775.5501957;-45.120503652039325
1739209775.550202;-38.13080360867914
1739209775.5502083;-45.120503652039325
1739209775.5502145;-45.120503652039325
1739209775.550221;-38.13080360867914
1739209775.5502272;-45.120503652039325
1739209775.5502336;-45.120503652039325
1739209775.5502398;-45.120503652039325
1739209775.5502462;-38.13080360867914
1739209775.5502524;-38.13080360867914
1739209775.5502589;-38.13080360867914
1739209775.550265;-45.120503652039325
1739209775.5502715;-38.13080360867914
1739209775.5502777;-35.57807855764607
1739209775.5502841;-38.13080360867914
1739209775.5502903;-45.120503652039325
1739209775.5502968;-38.13080360867914
1739209775.5503032;-45.120503652039325
1739209775.5503094;-38.13080360867914
1739209775.5503159;-35.57807855764607
1739209775.550322;-38.13080360867914
1739209775.5503285;-35.57807855764607
1739209775.5503347;-45.120503652039325
1739209775.5503411;-38.13080360867914
1739209775.5503473;-38.13080360867914
1739209775.5503538;-38.13080360867914
1739209775.55036;-38.13080360867914
1739209775.5503664;-38.13080360867914
1739209775.5503726;-45.120503652039325
1739209775.550379;-45.120503652039325
1739209775.5503852;-45.120503652039325
1739209775.5503917;-38.13080360867914
1739209775.5503979;-38.13080360867914
1739209775.5504043;-45.120503652039325
1739209775.5504107;-45.120503652039325
1739209775.550417;-45.120503652039325
1739209775.5504234;-38.13080360867914
1739209775.5504296;-30.49652367304973
1739209775.550436;-38.13080360867914
1739209775.5504422;-35.57807855764607
1739209775.5504487;-38.13080360867914
1739209775.5504549;-38.13080360867914
1739209775.5504613;-38.13080360867914
1739209775.5504675;-35.57807855764607
1739209775.550474;-45.120503652039325
1739209775.5504801;-45.120503652039325
1739209775.5504866;-38.13080360867914
1739209775.5504928;-38.13080360867914
1739209775.5504992;-45.120503652039325
1739209775.5505056;-45.120503652039325
1739209775.5505118;-35.57807855764607
1739209775.5505183;-32.816014438256545
1739209775.5505245;-45.120503652039325
1739209775.550531;-45.120503652039325
1739209775.550537;-45.120503652039325
1739209775.5505435;-38.13080360867914
1739209775.5505497;-35.57807855764607
1739209775.5505562;-38.13080360867914
1739209775.5505624;-45.120503652039325
1739209775.5505688;-38.13080360867914
1739209775.550575;-32.816014438256545
1739209775.5505815;-26.035653463252796
1739209775.5505877;-38.13080360867914
1739209775.550594;-45.120503652039325
1739209775.5506005;-38.13080360867914
1739209775.5506067;-35.57807855764607
1739209775.5506132;-45.120503652039325
1739209775.5506194;-38.13080360867914
1739209775.5506258;-45.120503652039325
1739209775.550632;-45.120503652039325
1739209775.5506384;-35.57807855764607
1739209775.5506446;-45.120503652039325
1739209775.550651;-38.13080360867914
1739209775.5506573;-45.120503652039325
1739209775.5506637;-45.120503652039325
1739209775.55067;-45.120503652039325
1739209775.5506763;-45.120503652039325
1739209775.5506825;-31.141103565318915
1739209775.550689;-38.13080360867914
1739209775.5506952;-45.120503652039325
1739209775.5507016;-33.981070128970906
1739209775.550708;-35.57807855764607
1739209775.5507143;-45.120503652039325
1739209775.5507207;-45.120503652039325
1739209775.550727;-38.13080360867914
1739209775.5507333;-31.141103565318915
1739209775.5507395;-38.13080360867914
1739209775.550746;-45.120503652039325
1739209775.5507522;-35.57807855764607
1739209775.5507586;-32.816014438256545
1739209775.5507648;-45.120503652039325
1739209775.5507712;-45.120503652039325
1739209775.5507774;-38.13080360867914
1739209775.5507839;-38.13080360867914
1739209775.55079;-45.120503652039325
1739209775.5507965;-45.120503652039325
1739209775.5508027;-45.120503652039325
1739209775.5508091;-38.13080360867914
1739209775.5508156;-35.57807855764607
1739209775.5508218;-45.120503652039325
1739209775.5508282;-38.13080360867914
1739209775.5508344;-30.49652367304973
1739209775.5508409;-38.13080360867914
1739209775.550847;-45.120503652039325
1739209775.5508535;-38.13080360867914
1739209775.5508597;-45.120503652039325
1739209775.5508661;-45.120503652039325
1739209775.5508723;-45.120503652039325
1739209775.5508788;-38.13080360867914
1739209775.550885;-32.816014438256545
1739209775.5508914;-38.13080360867914
1739209775.5508976;-45.120503652039325
1739209775.550904;-33.981070128970906
1739209775.5509105;-33.981070128970906
1739209775.5509167;-38.13080360867914
1739209775.550923;-45.120503652039325
1739209775.5509293;-45.120503652039325
1739209775.5509357;-45.120503652039325
1739209775.550942;-45.120503652039325
1739209775.5509484;-45.120503652039325
1739209775.5509546;-38.13080360867914
1739209775.550961;-45.120503652039325
1739209775.5509672;-38.13080360867914
1739209775.5509737;-38.13080360867914
1739209775.5509799;-45.120503652039325
1739209775.5509863;-45.120503652039325
1739209775.5509925;-45.120503652039325
1739209775.550999;-45.120503652039325
1739209775.5510054;-38.13080360867914
1739209775.5510116;-45.120503652039325
1739209775.551018;-38.13080360867914
1739209775.5510242;-38.13080360867914
1739209775.5510306;-45.120503652039325
1739209775.5510368;-45.120503652039325
1739209775.5510433;-38.13080360867914
1739209775.5510495;-45.120503652039325
1739209775.551056;-45.120503652039325
1739209775.551062;-38.13080360867914
1739209775.5510685;-33.981070128970906
1739209775.5510747;-38.13080360867914
1739209775.5510812;-38.13080360867914
1739209775.5510874;-38.13080360867914
1739209775.5510938;-45.120503652039325
1739209775.5511;-45.120503652039325
1739209775.5511065;-38.13080360867914
1739209775.551113;-45.120503652039325
1739209775.551119;-45.120503652039325
1739209775.5511255;-45.120503652039325
1739209775.5511317;-38.13080360867914
1739209775.5511382;-35.57807855764607
1739209775.5511444;-38.13080360867914
1739209775.5511508;-45.120503652039325
1739209775.551157;-38.13080360867914
1739209775.5511634;-45.120503652039325
1739209775.5511696;-38.13080360867914
1739209775.551176;-45.120503652039325
1739209775.5511823;-38.13080360867914
1739209775.5511887;-38.13080360867914
1739209775.551195;-38.13080360867914
1739209775.5512013;-45.120503652039325
1739209775.5512075;-33.981070128970906
1739209775.551214;-30.49652367304973
1739209775.5512204;-33.981070128970906
1739209775.5512266;-45.120503652039325
1739209775.551233;-45.120503652039325
1739209775.5512393;-38.13080360867914
1739209775.5512457;-35.57807855764607
1739209775.551252;-45.120503652039325
1739209775.5512583;-35.57807855764607
1739209775.5512645;-38.13080360867914
1739209775.551271;-45.120503652039325
1739209775.5512772;-45.120503652039325
1739209775.5512836;-38.13080360867914
1739209775.5512898;-38.13080360867914
1739209775.5512962;-31.141103565318915
1739209775.5513024;-38.13080360867914
1739209775.5513089;-45.120503652039325
1739209775.5513153;-33.981070128970906
1739209775.5513215;-32.816014438256545
1739209775.551328;-38.13080360867914
1739209775.5513341;-38.13080360867914
1739209775.5513406;-32.816014438256545
1739209775.5513468;-32.81601443825658
1739209775.5513532;-45.120503652039325
1739209775.5513594;-38.13080360867914
1739209775.5513659;-32.816014438256545
1739209775.551372;-45.120503652039325
1739209775.5513785;-38.13080360867914
1739209775.5513847;-32.816014438256545
1739209775.5513911;-38.13080360867914
1739209775.5513973;-28.58837851428586
1739209775.5514038;-31.141103565318915
1739209775.5514102;-38.13080360867914
1739209775.5514164;-32.816014438256545
1739209775.5514228;-38.13080360867914
1739209775.551429;-38.13080360867914
1739209775.5514355;-45.120503652039325
1739209775.5514417;-38.13080360867914
1739209775.551448;-38.13080360867914
1739209775.5514543;-45.120503652039325
1739209775.5514607;-38.13080360867914
1739209775.551467;-35.57807855764607
1739209775.5514734;-45.120503652039325
1739209775.5514796;-45.120503652039325
1739209775.551486;-45.120503652039325
1739209775.5514922;-45.120503652039325
1739209775.5514987;-45.120503652039325
1739209775.5515049;-38.13080360867914
1739209775.5515113;-35.57807855764607
1739209775.5515177;-35.57807855764607
1739209775.551524;-45.120503652039325
1739209775.5515304;-45.120503652039325
1739209775.5515366;-45.120503652039325
1739209775.551543;-45.120503652039325
1739209775.5515492;-32.816014438256545
1739209775.5515556;-35.57807855764607
1739209775.5515618;-45.120503652039325
1739209775.5515683;-45.120503652039325
1739209775.5515745;-38.13080360867914
1739209775.551581;-38.13080360867914
1739209775.551587;-45.120503652039325
1739209775.5515935;-38.13080360867914
1739209775.5515997;-45.120503652039325
1739209775.5516062;-45.120503652039325
1739209775.5516124;-45.120503652039325
1739209775.5516188;-45.120503652039325
1739209775.5516253;-45.120503652039325
1739209775.5516315;-33.981070128970906
1739209775.551638;-38.13080360867914
1739209775.551644;-45.120503652039325
1739209775.5516505;-35.57807855764607
1739209775.5516567;-32.816014438256545
1739209775.5516632;-38.13080360867914
1739209775.5516694;-45.120503652039325
1739209775.5516758;-45.120503652039325
1739209775.551682;-45.120503652039325
1739209775.5516884;-38.13080360867914
1739209775.5516946;-38.13080360867914
1739209775.551701;-38.13080360867914
1739209775.5517073;-38.13080360867914
1739209775.5517137;-38.13080360867914
1739209775.5517201;-38.13080360867914
1739209775.5517263;-45.120503652039325
1739209775.5517328;-35.57807855764607
1739209775.551739;-45.120503652039325
1739209775.5517454;-45.120503652039325
1739209775.5517516;-45.120503652039325
1739209775.551758;-45.120503652039325
1739209775.5517642;-38.13080360867914
1739209775.5517707;-35.57807855764607
1739209775.551777;-45.120503652039325
1739209775.5517833;-38.13080360867914
1739209775.5517895;-32.816014438256545
1739209775.551796;-38.13080360867914
1739209775.5518022;-33.981070128970906
1739209775.5518086;-38.13080360867914
1739209775.551815;-45.120503652039325
1739209775.5518212;-38.13080360867914
1739209775.5518277;-35.57807855764607
1739209775.5518339;-33.981070128970906
1739209775.5518403;-38.13080360867914
1739209775.5518465;-32.816014438256545
1739209775.551853;-45.120503652039325
1739209775.5518591;-45.120503652039325
1739209775.5518656;-35.57807855764607
1739209775.5518718;-38.13080360867914
1739209775.5518782;-38.13080360867914
1739209775.5518844;-38.13080360867914
1739209775.5518909;-38.13080360867914
1739209775.551897;-38.13080360867914
1739209775.5519035;-45.120503652039325
1739209775.5519097;-45.120503652039325
1739209775.5519161;-45.120503652039325
1739209775.5519226;-35.57807855764607
1739209775.5519288;-38.13080360867914
1739209775.5519352;-45.120503652039325
1739209775.5519414;-38.13080360867914
1739209775.5519478;-38.13080360867914
1739209775.551954;-38.13080360867914
1739209775.5519605;-38.13080360867914
1739209775.5519667;-38.13080360867914
