CAN Message; 0x1d3:0000e6660639f91a
Timestamp;Amplitude
1739209630.211368;-45.120503652039325
1739209630.2113729;-38.13080360867914
1739209630.2113776;-35.57807855764607
1739209630.2113822;-35.57807855764607
1739209630.211387;-45.120503652039325
1739209630.2113917;-45.120503652039325
1739209630.2113965;-45.120503652039325
1739209630.2114012;-38.13080360867914
1739209630.211406;-45.120503652039325
1739209630.2114105;-45.120503652039325
1739209630.2114153;-33.981070128970906
1739209630.21142;-38.13080360867914
1739209630.2114248;-38.13080360867914
1739209630.2114296;-38.13080360867914
1739209630.2114344;-45.120503652039325
1739209630.211439;-38.13080360867914
1739209630.2114437;-35.57807855764607
1739209630.2114484;-38.13080360867914
1739209630.2114532;-45.120503652039325
1739209630.211458;-38.13080360867914
1739209630.2114627;-38.13080360867914
1739209630.2114673;-45.120503652039325
1739209630.211472;-45.120503652039325
1739209630.2114768;-38.13080360867914
1739209630.2114816;-45.120503652039325
1739209630.2114863;-38.13080360867914
1739209630.211491;-45.120503652039325
1739209630.2114959;-45.120503652039325
1739209630.2115004;-33.981070128970906
1739209630.2115052;-38.13080360867914
1739209630.21151;-45.120503652039325
1739209630.2115147;-38.13080360867914
1739209630.2115195;-35.57807855764607
1739209630.2115242;-38.13080360867914
1739209630.2115288;-45.120503652039325
1739209630.2115335;-38.13080360867914
1739209630.2115383;-38.13080360867914
1739209630.211543;-45.120503652039325
1739209630.2115479;-38.13080360867914
1739209630.2115526;-38.13080360867914
1739209630.2115571;-45.120503652039325
1739209630.211562;-45.120503652039325
1739209630.2115667;-35.57807855764607
1739209630.2115715;-38.13080360867914
1739209630.2115762;-45.120503652039325
1739209630.211581;-38.13080360867914
1739209630.2115858;-38.13080360867914
1739209630.2115903;-38.13080360867914
1739209630.211595;-38.13080360867914
1739209630.2115998;-45.120503652039325
1739209630.2116046;-45.120503652039325
1739209630.2116094;-38.13080360867914
1739209630.2116141;-32.816014438256545
1739209630.2116187;-35.57807855764607
1739209630.2116234;-45.120503652039325
1739209630.2116282;-45.120503652039325
1739209630.211633;-38.13080360867914
1739209630.2116377;-38.13080360867914
1739209630.2116425;-45.120503652039325
1739209630.211647;-33.981070128970906
1739209630.2116518;-45.120503652039325
1739209630.2116566;-45.120503652039325
1739209630.2116613;-35.57807855764607
1739209630.211666;-38.13080360867914
1739209630.2116709;-38.13080360867914
1739209630.2116754;-45.120503652039325
1739209630.2116802;-45.120503652039325
1739209630.211685;-38.13080360867914
1739209630.2116897;-35.57807855764607
1739209630.2116945;-38.13080360867914
1739209630.2116992;-35.57807855764607
1739209630.211704;-38.13080360867914
1739209630.2117085;-45.120503652039325
1739209630.2117133;-45.120503652039325
1739209630.211718;-45.120503652039325
1739209630.2117229;-45.120503652039325
1739209630.2117276;-45.120503652039325
1739209630.2117324;-45.120503652039325
1739209630.211737;-38.13080360867914
1739209630.2117417;-32.816014438256545
1739209630.2117465;-45.120503652039325
1739209630.2117512;-45.120503652039325
1739209630.211756;-38.13080360867914
1739209630.2117608;-35.57807855764607
1739209630.2117653;-45.120503652039325
1739209630.21177;-45.120503652039325
1739209630.2117748;-35.57807855764607
1739209630.2117796;-38.13080360867914
1739209630.2117844;-35.57807855764607
1739209630.2117891;-38.13080360867914
1739209630.211794;-38.13080360867914
1739209630.2117984;-38.13080360867914
1739209630.2118032;-33.981070128970906
1739209630.211808;-31.141103565318893
1739209630.2118127;-33.981070128970906
1739209630.2118175;-45.120503652039325
1739209630.2118223;-45.120503652039325
1739209630.2118268;-35.57807855764607
1739209630.2118316;-38.13080360867914
1739209630.2118363;-38.13080360867914
1739209630.211841;-38.13080360867914
1739209630.2118459;-38.13080360867914
1739209630.2118506;-45.120503652039325
1739209630.2118552;-38.13080360867914
1739209630.21186;-45.120503652039325
1739209630.2118647;-45.120503652039325
1739209630.2118695;-38.13080360867914
1739209630.2118742;-45.120503652039325
1739209630.211879;-31.141103565318893
1739209630.2118835;-28.58837851428586
1739209630.2118883;-45.120503652039325
1739209630.211893;-45.120503652039325
1739209630.2118979;-38.13080360867914
1739209630.2119026;-33.981070128970906
1739209630.2119074;-45.120503652039325
1739209630.2119122;-38.13080360867914
1739209630.2119167;-45.120503652039325
1739209630.2119215;-38.13080360867914
1739209630.2119262;-38.13080360867914
1739209630.211931;-38.13080360867914
1739209630.2119358;-38.13080360867914
1739209630.2119405;-45.120503652039325
1739209630.211945;-45.120503652039325
1739209630.2119498;-38.13080360867914
1739209630.2119546;-38.13080360867914
1739209630.2119594;-45.120503652039325
1739209630.2119641;-38.13080360867914
1739209630.211969;-45.120503652039325
1739209630.2119734;-45.120503652039325
1739209630.2119782;-45.120503652039325
1739209630.211983;-45.120503652039325
1739209630.2119877;-45.120503652039325
1739209630.2119925;-45.120503652039325
1739209630.2119973;-28.992665084841942
1739209630.212002;-38.13080360867914
1739209630.2120066;-45.120503652039325
1739209630.2120113;-35.57807855764607
1739209630.212016;-33.981070128970906
1739209630.2120209;-45.120503652039325
1739209630.2120256;-45.120503652039325
1739209630.2120304;-38.13080360867914
1739209630.212035;-31.14110356531892
1739209630.2120397;-38.13080360867914
1739209630.2120445;-45.120503652039325
1739209630.2120492;-45.120503652039325
1739209630.212054;-45.120503652039325
1739209630.2120588;-38.13080360867914
1739209630.2120633;-45.120503652039325
1739209630.212068;-38.13080360867914
1739209630.2120728;-31.141103565318915
1739209630.2120776;-38.13080360867914
1739209630.2120824;-45.120503652039325
1739209630.2120872;-38.13080360867914
1739209630.2120917;-38.13080360867914
1739209630.2120965;-38.13080360867914
1739209630.2121012;-38.13080360867914
1739209630.212106;-45.120503652039325
1739209630.2121108;-33.981070128970906
1739209630.2121155;-38.13080360867914
1739209630.2121203;-38.13080360867914
1739209630.2121248;-45.120503652039325
1739209630.2121296;-45.120503652039325
1739209630.2121344;-45.120503652039325
1739209630.2121391;-45.120503652039325
1739209630.212144;-45.120503652039325
1739209630.2121487;-38.13080360867914
1739209630.2121532;-38.13080360867914
1739209630.212158;-45.120503652039325
1739209630.2121627;-45.120503652039325
1739209630.2121675;-38.13080360867914
1739209630.2121723;-33.981070128970906
1739209630.212177;-33.981070128970906
1739209630.2121816;-45.120503652039325
1739209630.2121863;-45.120503652039325
1739209630.212191;-35.57807855764607
1739209630.2121959;-35.57807855764607
