CAN Message; 0x1d3:00000e08a0a044c7
Timestamp;Amplitude
1739209634.8766928;-38.13080360867914
1739209634.8766975;-38.13080360867914
1739209634.876702;-38.13080360867914
1739209634.8767066;-35.57807855764607
1739209634.8767114;-33.981070128970906
1739209634.876716;-35.57807855764607
1739209634.8767207;-38.13080360867914
1739209634.8767252;-45.120503652039325
1739209634.8767297;-38.13080360867914
1739209634.8767345;-45.120503652039325
1739209634.876739;-38.13080360867914
1739209634.8767436;-38.13080360867914
1739209634.8767483;-38.13080360867914
1739209634.8767529;-45.120503652039325
1739209634.8767576;-45.120503652039325
1739209634.8767622;-38.13080360867914
1739209634.8767667;-33.981070128970906
1739209634.8767715;-38.13080360867914
1739209634.876776;-38.13080360867914
1739209634.8767805;-45.120503652039325
1739209634.8767853;-38.13080360867914
1739209634.8767898;-45.120503652039325
1739209634.8767946;-38.13080360867914
1739209634.876799;-45.120503652039325
1739209634.8768036;-38.13080360867914
1739209634.8768084;-32.816014438256545
1739209634.876813;-45.120503652039325
1739209634.8768175;-45.120503652039325
1739209634.8768222;-31.141103565318915
1739209634.8768268;-38.13080360867914
1739209634.8768315;-38.13080360867914
1739209634.876836;-38.13080360867914
1739209634.8768406;-38.13080360867914
1739209634.8768454;-35.57807855764607
1739209634.87685;-38.13080360867914
1739209634.8768544;-45.120503652039325
1739209634.8768592;-30.49652367304973
1739209634.8768637;-38.13080360867914
1739209634.8768685;-35.57807855764607
1739209634.876873;-38.13080360867914
1739209634.8768775;-45.120503652039325
1739209634.8768823;-38.13080360867914
1739209634.8768868;-33.981070128970906
1739209634.8768914;-45.120503652039325
1739209634.8768961;-28.992665084841942
1739209634.8769007;-31.141103565318915
1739209634.8769054;-38.13080360867914
1739209634.87691;-45.120503652039325
1739209634.8769145;-33.981070128970906
1739209634.8769193;-38.13080360867914
1739209634.8769238;-45.120503652039325
1739209634.8769283;-45.120503652039325
1739209634.876933;-45.120503652039325
1739209634.8769376;-45.120503652039325
1739209634.8769424;-38.13080360867914
1739209634.876947;-45.120503652039325
1739209634.8769515;-35.57807855764607
1739209634.8769562;-32.816014438256545
1739209634.8769608;-38.13080360867914
1739209634.8769653;-45.120503652039325
1739209634.87697;-45.120503652039325
1739209634.8769746;-32.816014438256545
1739209634.8769794;-38.13080360867914
1739209634.876984;-45.120503652039325
1739209634.8769884;-45.120503652039325
1739209634.8769932;-45.120503652039325
1739209634.8769977;-45.120503652039325
1739209634.8770022;-45.120503652039325
1739209634.877007;-33.981070128970906
1739209634.8770115;-28.992665084841942
1739209634.877016;-38.13080360867914
1739209634.8770208;-45.120503652039325
1739209634.8770254;-38.13080360867914
1739209634.8770301;-38.13080360867914
1739209634.8770347;-38.13080360867914
1739209634.8770392;-45.120503652039325
1739209634.877044;-45.120503652039325
1739209634.8770485;-45.120503652039325
1739209634.877053;-38.13080360867914
1739209634.8770578;-45.120503652039325
1739209634.8770623;-45.120503652039325
1739209634.877067;-35.57807855764607
1739209634.8770716;-35.57807855764607
1739209634.8770761;-45.120503652039325
1739209634.877081;-33.981070128970906
1739209634.8770854;-30.49652367304973
1739209634.87709;-38.13080360867914
1739209634.8770947;-45.120503652039325
1739209634.8770993;-45.120503652039325
1739209634.877104;-45.120503652039325
1739209634.8771086;-45.120503652039325
1739209634.877113;-38.13080360867914
1739209634.8771179;-45.120503652039325
1739209634.8771224;-45.120503652039325
1739209634.877127;-38.13080360867914
1739209634.8771317;-35.57807855764607
1739209634.8771362;-38.13080360867914
1739209634.877141;-38.13080360867914
1739209634.8771455;-45.120503652039325
1739209634.87715;-45.120503652039325
1739209634.8771548;-35.57807855764607
1739209634.8771594;-38.13080360867914
1739209634.877164;-38.13080360867914
1739209634.8771687;-35.57807855764607
1739209634.8771732;-45.120503652039325
1739209634.877178;-45.120503652039325
1739209634.8771825;-38.13080360867914
1739209634.877187;-35.57807855764607
1739209634.8771918;-38.13080360867914
1739209634.8771963;-45.120503652039325
1739209634.8772008;-38.13080360867914
1739209634.8772056;-35.57807855764607
1739209634.8772101;-45.120503652039325
1739209634.877215;-32.816014438256545
1739209634.8772194;-38.13080360867914
1739209634.877224;-38.13080360867914
1739209634.8772287;-35.57807855764607
1739209634.8772333;-35.57807855764607
1739209634.8772378;-45.120503652039325
1739209634.8772426;-38.13080360867914
1739209634.877247;-38.13080360867914
1739209634.8772519;-45.120503652039325
1739209634.8772564;-45.120503652039325
1739209634.877261;-45.120503652039325
1739209634.8772657;-45.120503652039325
1739209634.8772702;-45.120503652039325
1739209634.8772748;-45.120503652039325
1739209634.8772795;-45.120503652039325
1739209634.877284;-38.13080360867914
1739209634.8772886;-35.57807855764607
1739209634.8772933;-38.13080360867914
1739209634.8772979;-45.120503652039325
1739209634.8773026;-35.57807855764607
1739209634.8773072;-45.120503652039325
1739209634.8773117;-38.13080360867914
1739209634.8773165;-35.57807855764607
1739209634.877321;-38.13080360867914
1739209634.8773255;-45.120503652039325
1739209634.8773303;-33.981070128970906
1739209634.8773348;-45.120503652039325
1739209634.8773396;-45.120503652039325
1739209634.8773441;-32.816014438256545
