CAN Message; 0x1bb:0000b22b9df62ad1
Timestamp;Amplitude
1739209787.1530783;-32.816014438256545
1739209787.1530886;-38.13080360867914
1739209787.1530986;-45.120503652039325
1739209787.1531086;-38.13080360867914
1739209787.1531188;-32.816014438256545
1739209787.1531289;-38.13080360867914
1739209787.1531389;-45.120503652039325
1739209787.1531491;-38.13080360867914
1739209787.1531591;-45.120503652039325
1739209787.1531692;-38.13080360867914
1739209787.1531794;-45.120503652039325
1739209787.1531894;-38.13080360867914
1739209787.1531994;-45.120503652039325
1739209787.1532097;-38.13080360867914
1739209787.1532197;-32.816014438256545
1739209787.1532297;-38.13080360867914
1739209787.15324;-45.120503652039325
1739209787.15325;-38.13080360867914
1739209787.15326;-31.141103565318893
1739209787.1532702;-38.13080360867914
1739209787.1532803;-45.120503652039325
1739209787.1532903;-38.13080360867914
1739209787.1533005;-45.120503652039325
1739209787.1533105;-38.13080360867914
1739209787.1533206;-45.120503652039325
1739209787.1533308;-38.13080360867914
1739209787.1533408;-45.120503652039325
1739209787.1533508;-45.120503652039325
1739209787.153361;-38.13080360867914
1739209787.153371;-38.13080360867914
1739209787.153381;-35.57807855764607
1739209787.1533914;-33.981070128970906
1739209787.1534014;-38.13080360867914
1739209787.1534114;-38.13080360867914
1739209787.1534216;-24.151403521958727
1739209787.1534317;-33.981070128970906
1739209787.1534417;-38.13080360867914
1739209787.153452;-35.57807855764607
1739209787.153462;-35.57807855764607
1739209787.153472;-38.13080360867914
1739209787.1534822;-45.120503652039325
1739209787.1534922;-45.120503652039325
1739209787.1535022;-45.120503652039325
1739209787.1535125;-38.13080360867914
1739209787.1535225;-45.120503652039325
1739209787.1535325;-38.13080360867914
1739209787.1535428;-38.13080360867914
1739209787.1535528;-35.57807855764607
1739209787.1535628;-45.120503652039325
1739209787.153573;-45.120503652039325
1739209787.153583;-45.120503652039325
1739209787.153593;-45.120503652039325
1739209787.1536033;-38.13080360867914
1739209787.1536133;-45.120503652039325
1739209787.1536233;-45.120503652039325
1739209787.1536336;-45.120503652039325
1739209787.1536436;-38.13080360867914
1739209787.1536536;-45.120503652039325
1739209787.1536639;-33.981070128970906
1739209787.153674;-28.992665084841942
1739209787.153684;-35.57807855764607
1739209787.1536942;-38.13080360867914
1739209787.1537042;-32.816014438256545
1739209787.1537142;-32.816014438256545
1739209787.1537244;-45.120503652039325
1739209787.1537344;-45.120503652039325
1739209787.1537445;-33.981070128970956
1739209787.1537547;-45.120503652039325
1739209787.1537647;-38.13080360867914
1739209787.1537747;-38.13080360867914
1739209787.153785;-45.120503652039325
1739209787.153795;-45.120503652039325
1739209787.153805;-32.816014438256545
1739209787.1538153;-45.120503652039325
1739209787.1538253;-33.981070128970906
1739209787.1538353;-32.816014438256545
1739209787.1538455;-35.57807855764607
1739209787.1538556;-38.13080360867914
1739209787.1538656;-35.57807855764607
1739209787.1538758;-35.57807855764607
1739209787.1538858;-45.120503652039325
1739209787.1538959;-33.981070128970906
1739209787.153906;-45.120503652039325
1739209787.1539161;-38.13080360867914
1739209787.1539261;-32.816014438256545
1739209787.1539364;-45.120503652039325
1739209787.1539464;-45.120503652039325
1739209787.1539564;-35.57807855764607
1739209787.1539667;-35.57807855764607
1739209787.1539767;-38.13080360867914
