CAN Message; 0x39:0f84f45112b89931
Timestamp;Amplitude
1739209772.856037;-38.13080360867914
1739209772.856041;-38.13080360867914
1739209772.8560448;-45.120503652039325
1739209772.8560488;-38.13080360867914
1739209772.8560526;-45.120503652039325
1739209772.8560565;-45.120503652039325
1739209772.8560605;-38.13080360867914
1739209772.8560643;-45.120503652039325
1739209772.8560684;-45.120503652039325
1739209772.8560722;-45.120503652039325
1739209772.8560762;-38.13080360867914
1739209772.85608;-35.57807855764607
1739209772.8560839;-38.13080360867914
1739209772.856088;-45.120503652039325
1739209772.8560917;-38.13080360867914
1739209772.8560958;-33.981070128970906
1739209772.8560996;-38.13080360867914
1739209772.8561034;-38.13080360867914
1739209772.8561075;-33.981070128970906
1739209772.8561113;-45.120503652039325
1739209772.8561153;-38.13080360867914
1739209772.8561192;-38.13080360867914
1739209772.8561232;-45.120503652039325
1739209772.856127;-45.120503652039325
1739209772.8561308;-38.13080360867914
1739209772.856135;-38.13080360867914
1739209772.8561387;-38.13080360867914
1739209772.8561428;-38.13080360867914
1739209772.8561466;-38.13080360867914
1739209772.8561504;-45.120503652039325
1739209772.8561544;-45.120503652039325
1739209772.8561583;-45.120503652039325
1739209772.8561623;-45.120503652039325
1739209772.8561661;-45.120503652039325
1739209772.85617;-45.120503652039325
1739209772.856174;-38.13080360867914
1739209772.8561778;-38.13080360867914
1739209772.8561819;-35.57807855764607
1739209772.8561857;-38.13080360867914
1739209772.8561897;-45.120503652039325
1739209772.8561935;-45.120503652039325
1739209772.8561974;-38.13080360867914
1739209772.8562014;-38.13080360867914
1739209772.8562052;-33.981070128970906
1739209772.8562093;-45.120503652039325
1739209772.856213;-45.120503652039325
1739209772.856217;-45.120503652039325
1739209772.856221;-38.13080360867914
1739209772.8562248;-45.120503652039325
1739209772.8562288;-45.120503652039325
1739209772.8562326;-38.13080360867914
1739209772.8562365;-38.13080360867914
1739209772.8562405;-38.13080360867914
1739209772.8562443;-31.141103565318915
1739209772.8562484;-38.13080360867914
1739209772.8562522;-45.120503652039325
1739209772.8562562;-38.13080360867914
1739209772.85626;-31.141103565318893
1739209772.8562639;-32.816014438256545
1739209772.856268;-45.120503652039325
1739209772.8562717;-45.120503652039325
1739209772.8562758;-38.13080360867914
1739209772.8562796;-38.13080360867914
1739209772.8562834;-45.120503652039325
1739209772.8562875;-38.13080360867914
1739209772.8562913;-38.13080360867914
1739209772.8562953;-38.13080360867914
1739209772.8562992;-38.13080360867914
1739209772.8563032;-45.120503652039325
1739209772.856307;-45.120503652039325
1739209772.8563108;-45.120503652039325
1739209772.856315;-38.13080360867914
1739209772.8563187;-38.13080360867914
1739209772.8563228;-32.816014438256545
1739209772.8563266;-31.141103565318915
1739209772.8563304;-45.120503652039325
1739209772.8563344;-45.120503652039325
1739209772.8563383;-32.816014438256545
1739209772.8563423;-35.57807855764607
1739209772.8563461;-45.120503652039325
1739209772.85635;-38.13080360867914
1739209772.856354;-38.13080360867914
1739209772.8563578;-33.981070128970906
1739209772.8563619;-45.120503652039325
1739209772.8563657;-38.13080360867914
1739209772.8563697;-38.13080360867914
1739209772.8563735;-33.981070128970906
1739209772.8563774;-45.120503652039325
1739209772.8563814;-45.120503652039325
1739209772.8563852;-45.120503652039325
1739209772.8563893;-45.120503652039325
1739209772.856393;-45.120503652039325
1739209772.856397;-38.13080360867914
1739209772.856401;-32.816014438256545
1739209772.8564048;-38.13080360867914
1739209772.8564088;-45.120503652039325
1739209772.8564126;-45.120503652039325
1739209772.8564165;-32.816014438256545
1739209772.8564205;-28.992665084841942
1739209772.8564243;-45.120503652039325
1739209772.8564284;-38.13080360867914
1739209772.8564322;-45.120503652039325
1739209772.8564363;-45.120503652039325
1739209772.85644;-45.120503652039325
1739209772.856444;-45.120503652039325
1739209772.856448;-45.120503652039325
1739209772.8564517;-35.57807855764607
1739209772.8564558;-38.13080360867914
1739209772.8564596;-38.13080360867914
1739209772.8564634;-45.120503652039325
1739209772.8564675;-45.120503652039325
1739209772.8564713;-35.57807855764607
1739209772.8564754;-45.120503652039325
1739209772.8564792;-33.981070128970906
1739209772.8564832;-33.981070128970906
1739209772.856487;-45.120503652039325
1739209772.8564909;-45.120503652039325
1739209772.856495;-38.13080360867914
1739209772.8564987;-38.13080360867914
1739209772.8565028;-38.13080360867914
1739209772.8565066;-38.13080360867914
1739209772.8565104;-45.120503652039325
1739209772.8565145;-38.13080360867914
1739209772.8565183;-35.57807855764607
1739209772.8565223;-38.13080360867914
1739209772.8565261;-45.120503652039325
1739209772.85653;-33.981070128970906
1739209772.856534;-38.13080360867914
1739209772.8565378;-45.120503652039325
1739209772.8565419;-45.120503652039325
1739209772.8565457;-29.438486411369354
1739209772.8565497;-35.57807855764607
1739209772.8565536;-38.13080360867914
1739209772.8565574;-45.120503652039325
1739209772.8565614;-38.13080360867914
1739209772.8565652;-38.13080360867914
1739209772.8565693;-45.120503652039325
1739209772.856573;-38.13080360867914
1739209772.856577;-28.992665084841942
1739209772.856581;-38.13080360867914
1739209772.8565848;-45.120503652039325
1739209772.8565888;-38.13080360867914
1739209772.8565927;-31.141103565318915
1739209772.8565965;-32.816014438256545
1739209772.8566005;-38.13080360867914
1739209772.8566043;-38.13080360867914
1739209772.8566084;-32.816014438256545
1739209772.8566122;-38.13080360867914
1739209772.8566163;-45.120503652039325
1739209772.85662;-45.120503652039325
1739209772.856624;-38.13080360867914
1739209772.856628;-35.57807855764607
1739209772.8566318;-45.120503652039325
1739209772.8566358;-33.981070128970906
1739209772.8566396;-33.981070128970906
1739209772.8566434;-45.120503652039325
1739209772.8566475;-45.120503652039325
1739209772.8566513;-45.120503652039325
1739209772.8566554;-38.13080360867914
1739209772.8566592;-45.120503652039325
1739209772.8566632;-45.120503652039325
1739209772.856667;-45.120503652039325
1739209772.8566709;-38.13080360867914
1739209772.856675;-45.120503652039325
1739209772.8566787;-45.120503652039325
1739209772.8566828;-35.57807855764607
1739209772.8566866;-33.981070128970906
1739209772.8566904;-45.120503652039325
1739209772.8566945;-45.120503652039325
1739209772.8566983;-35.57807855764607
1739209772.8567023;-33.981070128970906
1739209772.8567061;-45.120503652039325
1739209772.85671;-38.13080360867914
1739209772.856714;-32.816014438256545
1739209772.8567178;-45.120503652039325
1739209772.8567219;-45.120503652039325
1739209772.8567257;-38.13080360867914
1739209772.8567297;-32.816014438256545
1739209772.8567336;-31.141103565318915
1739209772.8567374;-38.13080360867914
