CAN Message; 0x1b8:00007a51ea57f7dd
Timestamp;Amplitude
1739209599.730785;-33.981070128970906
1739209599.7307954;-38.13080360867914
1739209599.7308056;-45.120503652039325
1739209599.7308161;-45.120503652039325
1739209599.7308264;-45.120503652039325
1739209599.7308369;-31.141103565318943
1739209599.7308471;-38.13080360867914
1739209599.7308576;-35.57807855764607
1739209599.7308679;-38.13080360867914
1739209599.7308784;-45.120503652039325
1739209599.7308886;-33.981070128970906
1739209599.7308989;-35.57807855764607
1739209599.7309093;-38.13080360867914
1739209599.7309196;-33.981070128970906
1739209599.73093;-45.120503652039325
1739209599.7309403;-45.120503652039325
1739209599.7309508;-33.981070128970906
1739209599.730961;-38.13080360867914
1739209599.7309716;-45.120503652039325
1739209599.7309818;-45.120503652039325
1739209599.730992;-45.120503652039325
1739209599.7310026;-45.120503652039325
1739209599.7310128;-38.13080360867914
1739209599.7310233;-45.120503652039325
1739209599.7310336;-38.13080360867914
1739209599.731044;-38.13080360867914
1739209599.7310543;-45.120503652039325
1739209599.7310648;-45.120503652039325
1739209599.731075;-45.120503652039325
1739209599.7310855;-45.120503652039325
1739209599.7310958;-45.120503652039325
1739209599.731106;-35.57807855764607
1739209599.7311165;-38.13080360867914
1739209599.7311268;-45.120503652039325
1739209599.7311373;-45.120503652039325
1739209599.7311475;-45.120503652039325
1739209599.731158;-45.120503652039325
1739209599.7311683;-31.141103565318893
1739209599.7311788;-35.57807855764607
1739209599.731189;-38.13080360867914
1739209599.7311995;-45.120503652039325
1739209599.7312098;-35.57807855764607
1739209599.73122;-35.57807855764607
1739209599.7312305;-45.120503652039325
1739209599.7312407;-38.13080360867914
1739209599.7312512;-45.120503652039325
1739209599.7312615;-45.120503652039325
1739209599.731272;-45.120503652039325
1739209599.7312822;-45.120503652039325
1739209599.7312927;-45.120503652039325
1739209599.731303;-45.120503652039325
1739209599.7313135;-45.120503652039325
1739209599.7313237;-38.13080360867914
1739209599.731334;-26.035653463252796
1739209599.7313445;-32.816014438256545
1739209599.7313547;-45.120503652039325
1739209599.7313652;-35.57807855764607
1739209599.7313755;-32.816014438256545
1739209599.731386;-38.13080360867914
1739209599.7313962;-38.13080360867914
1739209599.7314067;-38.13080360867914
1739209599.731417;-45.120503652039325
1739209599.7314272;-45.120503652039325
1739209599.7314377;-38.13080360867914
1739209599.731448;-45.120503652039325
1739209599.7314584;-45.120503652039325
1739209599.7314687;-38.13080360867914
1739209599.7314792;-45.120503652039325
1739209599.7314894;-38.13080360867914
1739209599.7315;-31.141103565318893
1739209599.7315102;-33.981070128970906
1739209599.7315207;-45.120503652039325
1739209599.731531;-45.120503652039325
1739209599.7315412;-45.120503652039325
1739209599.7315516;-45.120503652039325
1739209599.731562;-38.13080360867914
1739209599.7315724;-45.120503652039325
1739209599.7315826;-45.120503652039325
1739209599.7315931;-38.13080360867914
1739209599.7316034;-45.120503652039325
1739209599.7316139;-45.120503652039325
1739209599.7316241;-33.981070128970906
1739209599.7316346;-38.13080360867914
1739209599.7316449;-45.120503652039325
1739209599.7316551;-38.13080360867914
1739209599.7316656;-45.120503652039325
1739209599.7316759;-45.120503652039325
1739209599.7316864;-45.120503652039325
1739209599.7316966;-45.120503652039325
1739209599.731707;-45.120503652039325
1739209599.7317173;-45.120503652039325
1739209599.7317278;-45.120503652039325
1739209599.731738;-38.13080360867914
1739209599.7317486;-35.57807855764607
1739209599.7317588;-35.57807855764607
1739209599.731769;-38.13080360867914
1739209599.7317796;-45.120503652039325
1739209599.7317898;-32.816014438256545
1739209599.7318003;-35.57807855764607
1739209599.7318106;-45.120503652039325
1739209599.731821;-45.120503652039325
1739209599.7318313;-45.120503652039325
1739209599.7318418;-38.13080360867914
1739209599.731852;-45.120503652039325
1739209599.7318623;-33.981070128970906
1739209599.7318728;-38.13080360867914
1739209599.731883;-38.13080360867914
1739209599.7318935;-45.120503652039325
1739209599.7319038;-38.13080360867914
1739209599.7319143;-32.816014438256545
1739209599.7319245;-33.981070128970906
1739209599.731935;-45.120503652039325
1739209599.7319453;-38.13080360867914
1739209599.7319558;-38.13080360867914
1739209599.731966;-33.981070128970906
1739209599.7319763;-45.120503652039325
1739209599.7319868;-33.981070128970906
1739209599.731997;-38.13080360867914
1739209599.7320075;-45.120503652039325
1739209599.7320178;-35.57807855764607
1739209599.7320282;-38.13080360867914
1739209599.7320385;-38.13080360867914
