CAN Message; 0x1d3:00002814fc15b926
Timestamp;Amplitude
1739209784.8029368;-38.13080360867914
1739209784.8029404;-45.120503652039325
1739209784.8029442;-45.120503652039325
1739209784.8029478;-38.13080360867914
1739209784.8029513;-45.120503652039325
1739209784.802955;-38.13080360867914
1739209784.8029587;-45.120503652039325
1739209784.8029623;-38.13080360867914
1739209784.8029659;-33.981070128970906
1739209784.8029695;-30.49652367304973
1739209784.8029733;-45.120503652039325
1739209784.8029768;-38.13080360867914
1739209784.8029804;-45.120503652039325
1739209784.802984;-38.13080360867914
1739209784.8029876;-38.13080360867914
1739209784.8029914;-45.120503652039325
1739209784.802995;-35.57807855764607
1739209784.8029985;-45.120503652039325
1739209784.803002;-38.13080360867914
1739209784.803006;-38.13080360867914
1739209784.8030095;-38.13080360867914
1739209784.803013;-32.816014438256545
1739209784.8030167;-45.120503652039325
1739209784.8030205;-35.57807855764607
1739209784.803024;-38.13080360867914
1739209784.8030276;-45.120503652039325
1739209784.8030312;-45.120503652039325
1739209784.8030348;-45.120503652039325
1739209784.8030386;-45.120503652039325
1739209784.8030422;-38.13080360867914
1739209784.8030457;-45.120503652039325
1739209784.8030493;-45.120503652039325
1739209784.8030531;-45.120503652039325
1739209784.8030567;-45.120503652039325
1739209784.8030603;-38.13080360867914
1739209784.8030639;-35.57807855764607
1739209784.8030677;-45.120503652039325
1739209784.8030713;-38.13080360867914
1739209784.8030748;-45.120503652039325
1739209784.8030784;-38.13080360867914
1739209784.803082;-38.13080360867914
1739209784.8030858;-33.981070128970906
1739209784.8030894;-45.120503652039325
1739209784.803093;-45.120503652039325
1739209784.8030965;-45.120503652039325
1739209784.8031003;-45.120503652039325
1739209784.803104;-45.120503652039325
1739209784.8031075;-45.120503652039325
1739209784.803111;-38.13080360867914
1739209784.803115;-38.13080360867914
1739209784.8031185;-45.120503652039325
1739209784.803122;-33.981070128970906
1739209784.8031256;-45.120503652039325
1739209784.8031292;-45.120503652039325
1739209784.803133;-45.120503652039325
1739209784.8031366;-45.120503652039325
1739209784.8031402;-45.120503652039325
1739209784.8031437;-45.120503652039325
1739209784.8031476;-38.13080360867914
1739209784.8031511;-38.13080360867914
1739209784.8031547;-45.120503652039325
1739209784.8031583;-38.13080360867914
1739209784.803162;-38.13080360867914
1739209784.8031657;-45.120503652039325
1739209784.8031693;-38.13080360867914
1739209784.8031728;-38.13080360867914
1739209784.8031764;-38.13080360867914
1739209784.8031802;-45.120503652039325
1739209784.8031838;-45.120503652039325
1739209784.8031874;-38.13080360867914
1739209784.803191;-35.57807855764607
1739209784.8031948;-32.816014438256545
1739209784.8031983;-45.120503652039325
1739209784.803202;-45.120503652039325
1739209784.8032055;-45.120503652039325
1739209784.8032093;-33.981070128970906
1739209784.803213;-38.13080360867914
1739209784.8032165;-45.120503652039325
1739209784.80322;-45.120503652039325
1739209784.8032236;-45.120503652039325
1739209784.8032274;-45.120503652039325
1739209784.803231;-45.120503652039325
1739209784.8032346;-35.57807855764607
1739209784.8032382;-38.13080360867914
1739209784.803242;-45.120503652039325
1739209784.8032455;-45.120503652039325
1739209784.8032491;-38.13080360867914
1739209784.8032527;-38.13080360867914
1739209784.8032565;-45.120503652039325
1739209784.80326;-45.120503652039325
1739209784.8032637;-45.120503652039325
1739209784.8032672;-27.267205301931607
1739209784.8032708;-38.13080360867914
1739209784.8032746;-45.120503652039325
1739209784.8032782;-45.120503652039325
1739209784.8032818;-45.120503652039325
1739209784.8032854;-38.13080360867914
1739209784.8032892;-38.13080360867914
1739209784.8032928;-38.13080360867914
