CAN Message; 0x1d3:0000d89373118e1a
Timestamp;Amplitude
1739209772.490548;-38.13080360867914
1739209772.4905498;-45.120503652039325
1739209772.4905517;-45.120503652039325
1739209772.4905536;-38.13080360867914
1739209772.4905555;-38.13080360867914
1739209772.4905572;-38.13080360867914
1739209772.490559;-28.992665084841942
1739209772.490561;-32.816014438256545
1739209772.490563;-35.57807855764607
1739209772.4905648;-38.13080360867914
1739209772.4905667;-38.13080360867914
1739209772.4905686;-33.981070128970906
1739209772.4905705;-38.13080360867914
1739209772.4905725;-38.13080360867914
1739209772.4905744;-45.120503652039325
1739209772.4905763;-38.13080360867914
1739209772.4905782;-38.13080360867914
1739209772.4905798;-45.120503652039325
1739209772.4905818;-38.13080360867914
1739209772.4905837;-45.120503652039325
1739209772.4905856;-45.120503652039325
1739209772.4905875;-38.13080360867914
1739209772.4905894;-45.120503652039325
1739209772.4905913;-45.120503652039325
1739209772.4905932;-45.120503652039325
1739209772.490595;-38.13080360867914
1739209772.490597;-45.120503652039325
1739209772.490599;-45.120503652039325
1739209772.4906008;-38.13080360867914
1739209772.4906025;-45.120503652039325
1739209772.4906044;-38.13080360867914
1739209772.4906063;-35.57807855764607
1739209772.4906082;-45.120503652039325
1739209772.4906101;-38.13080360867914
1739209772.490612;-38.13080360867914
1739209772.490614;-35.57807855764607
1739209772.4906158;-38.13080360867914
1739209772.4906178;-45.120503652039325
1739209772.4906197;-45.120503652039325
1739209772.4906216;-45.120503652039325
1739209772.4906232;-45.120503652039325
1739209772.4906251;-38.13080360867914
1739209772.490627;-45.120503652039325
1739209772.490629;-38.13080360867914
1739209772.4906309;-38.13080360867914
1739209772.4906328;-38.13080360867914
1739209772.4906347;-33.981070128970906
1739209772.4906366;-38.13080360867914
1739209772.4906385;-45.120503652039325
1739209772.4906404;-45.120503652039325
1739209772.4906423;-45.120503652039325
1739209772.4906442;-45.120503652039325
1739209772.490646;-45.120503652039325
1739209772.4906478;-38.13080360867914
1739209772.4906497;-35.57807855764607
1739209772.4906516;-33.981070128970906
1739209772.4906535;-38.13080360867914
1739209772.4906554;-38.13080360867914
1739209772.4906573;-32.816014438256545
1739209772.4906592;-38.13080360867914
1739209772.4906611;-45.120503652039325
1739209772.490663;-32.816014438256545
1739209772.490665;-38.13080360867914
1739209772.4906669;-38.13080360867914
1739209772.4906685;-38.13080360867914
1739209772.4906704;-38.13080360867914
1739209772.4906723;-45.120503652039325
1739209772.4906743;-45.120503652039325
1739209772.4906762;-45.120503652039325
1739209772.490678;-33.981070128970906
1739209772.49068;-38.13080360867914
1739209772.490682;-38.13080360867914
1739209772.4906838;-38.13080360867914
1739209772.4906857;-45.120503652039325
1739209772.4906876;-38.13080360867914
1739209772.4906893;-38.13080360867914
1739209772.4906912;-45.120503652039325
1739209772.490693;-38.13080360867914
1739209772.490695;-38.13080360867914
1739209772.490697;-38.13080360867914
1739209772.4906988;-45.120503652039325
1739209772.4907007;-35.57807855764607
1739209772.4907026;-35.57807855764607
1739209772.4907045;-38.13080360867914
1739209772.4907064;-35.57807855764607
1739209772.4907084;-38.13080360867914
1739209772.4907103;-45.120503652039325
1739209772.490712;-45.120503652039325
1739209772.4907138;-38.13080360867914
1739209772.4907157;-38.13080360867914
1739209772.4907176;-38.13080360867914
1739209772.4907196;-45.120503652039325
1739209772.4907215;-45.120503652039325
1739209772.4907234;-38.13080360867914
1739209772.4907253;-45.120503652039325
1739209772.4907272;-30.49652367304973
1739209772.490729;-33.981070128970906
1739209772.490731;-45.120503652039325
1739209772.4907327;-35.57807855764607
1739209772.4907346;-38.13080360867914
1739209772.4907365;-38.13080360867914
1739209772.4907384;-38.13080360867914
1739209772.4907403;-35.57807855764607
1739209772.4907422;-35.57807855764607
1739209772.490744;-45.120503652039325
1739209772.490746;-33.981070128970906
1739209772.490748;-35.57807855764607
1739209772.4907498;-45.120503652039325
1739209772.4907517;-45.120503652039325
1739209772.4907537;-33.981070128970906
1739209772.4907553;-33.981070128970906
1739209772.4907572;-33.981070128970906
1739209772.4907591;-45.120503652039325
1739209772.490761;-38.13080360867914
1739209772.490763;-35.57807855764607
1739209772.4907649;-45.120503652039325
1739209772.4907668;-45.120503652039325
1739209772.4907687;-35.57807855764607
1739209772.4907706;-35.57807855764607
1739209772.4907725;-30.49652367304973
1739209772.4907744;-29.438486411369333
1739209772.4907763;-38.13080360867914
1739209772.490778;-35.57807855764607
1739209772.4907799;-35.57807855764607
1739209772.4907818;-45.120503652039325
1739209772.4907837;-45.120503652039325
1739209772.4907856;-35.57807855764607
1739209772.4907875;-45.120503652039325
1739209772.4907894;-45.120503652039325
1739209772.4907913;-38.13080360867914
1739209772.4907932;-45.120503652039325
1739209772.4907951;-35.57807855764607
1739209772.490797;-35.57807855764607
1739209772.4907987;-45.120503652039325
1739209772.4908006;-45.120503652039325
1739209772.4908025;-45.120503652039325
1739209772.4908044;-45.120503652039325
1739209772.4908063;-45.120503652039325
1739209772.4908082;-45.120503652039325
1739209772.4908102;-45.120503652039325
1739209772.490812;-33.981070128970906
1739209772.490814;-38.13080360867914
1739209772.4908159;-45.120503652039325
1739209772.4908178;-30.49652367304973
1739209772.4908197;-32.816014438256545
1739209772.4908214;-45.120503652039325
1739209772.4908233;-45.120503652039325
1739209772.4908252;-35.57807855764607
1739209772.490827;-38.13080360867914
1739209772.490829;-45.120503652039325
1739209772.490831;-45.120503652039325
1739209772.4908328;-45.120503652039325
1739209772.4908347;-38.13080360867914
1739209772.4908366;-35.57807855764607
1739209772.4908385;-38.13080360867914
1739209772.4908404;-45.120503652039325
1739209772.4908423;-32.816014438256545
1739209772.490844;-45.120503652039325
1739209772.490846;-38.13080360867914
1739209772.4908478;-38.13080360867914
1739209772.4908497;-45.120503652039325
1739209772.4908516;-45.120503652039325
1739209772.4908535;-38.13080360867914
1739209772.4908555;-45.120503652039325
1739209772.4908574;-45.120503652039325
1739209772.4908593;-38.13080360867914
1739209772.4908612;-32.816014438256545
1739209772.490863;-38.13080360867914
1739209772.4908648;-45.120503652039325
1739209772.4908667;-45.120503652039325
1739209772.4908686;-38.13080360867914
1739209772.4908705;-38.13080360867914
1739209772.4908724;-38.13080360867914
1739209772.4908743;-38.13080360867914
1739209772.4908762;-32.816014438256545
1739209772.490878;-45.120503652039325
1739209772.49088;-38.13080360867914
1739209772.490882;-32.816014438256545
1739209772.4908838;-38.13080360867914
1739209772.4908857;-45.120503652039325
1739209772.4908874;-45.120503652039325
