CAN Message; 0x77:90c9d373f8605cff
Timestamp;Amplitude
1739209669.055702;-45.120503652039325
1739209669.055705;-33.981070128970906
1739209669.055708;-45.120503652039325
1739209669.055711;-45.120503652039325
1739209669.0557141;-38.13080360867914
1739209669.0557172;-38.13080360867914
1739209669.05572;-45.120503652039325
1739209669.0557232;-45.120503652039325
1739209669.0557263;-35.57807855764607
1739209669.0557294;-31.141103565318915
1739209669.0557325;-38.13080360867914
1739209669.0557353;-38.13080360867914
1739209669.0557384;-45.120503652039325
1739209669.0557415;-45.120503652039325
1739209669.0557446;-45.120503652039325
1739209669.0557475;-45.120503652039325
1739209669.0557506;-38.13080360867914
1739209669.0557537;-32.81601443825658
1739209669.0557568;-38.13080360867914
1739209669.05576;-38.13080360867914
1739209669.0557628;-35.57807855764607
1739209669.0557659;-45.120503652039325
1739209669.055769;-33.981070128970956
1739209669.055772;-45.120503652039325
1739209669.0557752;-31.141103565318893
1739209669.055778;-25.826314394896357
1739209669.0557811;-38.13080360867914
1739209669.0557842;-38.13080360867914
1739209669.0557873;-35.57807855764607
1739209669.0557902;-33.981070128970906
1739209669.0557933;-45.120503652039325
1739209669.0557964;-45.120503652039325
1739209669.0557995;-45.120503652039325
1739209669.0558026;-35.57807855764607
1739209669.0558054;-45.120503652039325
1739209669.0558085;-45.120503652039325
1739209669.0558116;-35.57807855764607
1739209669.0558147;-38.13080360867914
1739209669.0558176;-45.120503652039325
1739209669.0558207;-38.13080360867914
1739209669.0558238;-38.13080360867914
1739209669.055827;-33.981070128970906
1739209669.05583;-45.120503652039325
1739209669.0558329;-38.13080360867914
1739209669.055836;-38.13080360867914
1739209669.055839;-38.13080360867914
1739209669.0558422;-45.120503652039325
1739209669.055845;-45.120503652039325
1739209669.0558481;-45.120503652039325
1739209669.0558512;-28.992665084841942
1739209669.0558543;-45.120503652039325
1739209669.0558574;-38.13080360867914
1739209669.0558603;-35.57807855764607
1739209669.0558634;-31.141103565318915
1739209669.0558665;-45.120503652039325
1739209669.0558696;-45.120503652039325
1739209669.0558724;-45.120503652039325
1739209669.0558755;-30.49652367304973
1739209669.0558786;-45.120503652039325
1739209669.0558817;-45.120503652039325
1739209669.0558848;-38.13080360867914
1739209669.0558877;-38.13080360867914
1739209669.0558908;-45.120503652039325
1739209669.055894;-38.13080360867914
1739209669.055897;-33.981070128970906
1739209669.0558999;-31.141103565318915
1739209669.055903;-45.120503652039325
1739209669.055906;-38.13080360867914
1739209669.0559092;-45.120503652039325
1739209669.0559123;-35.57807855764607
1739209669.055915;-38.13080360867914
1739209669.0559182;-45.120503652039325
1739209669.0559213;-35.57807855764607
1739209669.0559244;-38.13080360867914
1739209669.0559275;-45.120503652039325
1739209669.0559304;-45.120503652039325
1739209669.0559335;-45.120503652039325
1739209669.0559366;-38.13080360867914
1739209669.0559397;-45.120503652039325
1739209669.0559425;-45.120503652039325
1739209669.0559456;-38.13080360867914
1739209669.0559487;-33.981070128970906
1739209669.0559518;-45.120503652039325
1739209669.055955;-38.13080360867914
1739209669.0559578;-35.57807855764607
1739209669.055961;-35.57807855764607
1739209669.055964;-45.120503652039325
1739209669.055967;-38.13080360867914
1739209669.05597;-38.13080360867914
1739209669.055973;-33.981070128970906
1739209669.0559762;-38.13080360867914
1739209669.0559793;-45.120503652039325
1739209669.0559824;-45.120503652039325
1739209669.0559852;-38.13080360867914
1739209669.0559883;-38.13080360867914
1739209669.0559914;-38.13080360867914
1739209669.0559945;-38.13080360867914
1739209669.0559974;-38.13080360867914
1739209669.0560005;-38.13080360867914
1739209669.0560036;-45.120503652039325
1739209669.0560067;-35.57807855764607
1739209669.0560098;-32.816014438256545
1739209669.0560126;-45.120503652039325
1739209669.0560157;-38.13080360867914
1739209669.0560188;-33.981070128970906
1739209669.056022;-38.13080360867914
1739209669.0560248;-45.120503652039325
1739209669.056028;-38.13080360867914
1739209669.056031;-35.57807855764607
1739209669.056034;-38.13080360867914
1739209669.0560372;-45.120503652039325
1739209669.05604;-38.13080360867914
1739209669.0560431;-33.981070128970906
1739209669.0560462;-32.816014438256545
1739209669.0560493;-38.13080360867914
1739209669.0560524;-38.13080360867914
1739209669.0560553;-38.13080360867914
1739209669.0560584;-38.13080360867914
1739209669.0560615;-45.120503652039325
1739209669.0560646;-38.13080360867914
1739209669.0560675;-35.57807855764607
1739209669.0560706;-35.57807855764607
1739209669.0560737;-45.120503652039325
1739209669.0560768;-45.120503652039325
1739209669.0560799;-38.13080360867914
1739209669.0560827;-45.120503652039325
1739209669.0560858;-45.120503652039325
1739209669.056089;-45.120503652039325
1739209669.056092;-33.981070128970906
1739209669.056095;-45.120503652039325
1739209669.056098;-35.57807855764607
1739209669.056101;-35.57807855764607
1739209669.0561042;-35.57807855764607
1739209669.0561073;-38.13080360867914
1739209669.0561101;-38.13080360867914
1739209669.0561132;-35.57807855764607
