CAN Message; 0x39:0ee0e22c253932df
Timestamp;Amplitude
1739209706.0363994;-38.13080360867914
1739209706.0364025;-45.120503652039325
1739209706.0364056;-38.13080360867914
1739209706.0364087;-38.13080360867914
1739209706.0364118;-45.120503652039325
1739209706.036415;-38.13080360867914
1739209706.0364182;-45.120503652039325
1739209706.0364213;-45.120503652039325
1739209706.0364244;-38.13080360867914
1739209706.0364275;-35.57807855764607
1739209706.0364306;-45.120503652039325
1739209706.0364337;-38.13080360867914
1739209706.0364368;-38.13080360867914
1739209706.03644;-38.13080360867914
1739209706.036443;-38.13080360867914
1739209706.036446;-35.57807855764607
1739209706.0364494;-38.13080360867914
1739209706.0364525;-45.120503652039325
1739209706.0364556;-45.120503652039325
1739209706.0364587;-45.120503652039325
1739209706.0364618;-45.120503652039325
1739209706.036465;-38.13080360867914
1739209706.036468;-38.13080360867914
1739209706.0364711;-35.57807855764607
1739209706.0364742;-38.13080360867914
1739209706.0364773;-45.120503652039325
1739209706.0364807;-45.120503652039325
1739209706.0364838;-35.57807855764607
1739209706.0364869;-38.13080360867914
1739209706.03649;-38.13080360867914
1739209706.036493;-38.13080360867914
1739209706.0364962;-38.13080360867914
1739209706.0364993;-33.981070128970906
1739209706.0365024;-45.120503652039325
1739209706.0365055;-38.13080360867914
1739209706.0365086;-45.120503652039325
1739209706.0365117;-38.13080360867914
1739209706.036515;-38.13080360867914
1739209706.036518;-38.13080360867914
1739209706.0365212;-45.120503652039325
1739209706.0365243;-33.981070128970906
1739209706.0365274;-35.57807855764607
1739209706.0365305;-38.13080360867914
1739209706.0365336;-45.120503652039325
1739209706.0365367;-38.13080360867914
1739209706.0365398;-38.13080360867914
1739209706.036543;-38.13080360867914
1739209706.0365462;-45.120503652039325
1739209706.0365493;-38.13080360867914
1739209706.0365524;-45.120503652039325
1739209706.0365555;-45.120503652039325
1739209706.0365586;-38.13080360867914
1739209706.0365617;-38.13080360867914
1739209706.0365648;-45.120503652039325
1739209706.036568;-45.120503652039325
1739209706.036571;-35.57807855764607
1739209706.0365741;-31.141103565318915
1739209706.0365772;-45.120503652039325
1739209706.0365806;-38.13080360867914
1739209706.0365837;-45.120503652039325
1739209706.0365868;-45.120503652039325
1739209706.0365899;-45.120503652039325
1739209706.036593;-38.13080360867914
1739209706.036596;-38.13080360867914
1739209706.0365992;-28.58837851428586
1739209706.0366023;-45.120503652039325
1739209706.0366054;-38.13080360867914
1739209706.0366085;-35.57807855764607
1739209706.0366116;-38.13080360867914
1739209706.036615;-45.120503652039325
1739209706.036618;-45.120503652039325
1739209706.036621;-33.981070128970906
1739209706.0366242;-33.981070128970906
1739209706.0366273;-45.120503652039325
1739209706.0366304;-38.13080360867914
1739209706.0366335;-38.13080360867914
1739209706.0366366;-38.13080360867914
1739209706.0366397;-45.120503652039325
1739209706.0366428;-38.13080360867914
1739209706.036646;-45.120503652039325
1739209706.0366492;-45.120503652039325
1739209706.0366523;-35.57807855764607
1739209706.0366554;-35.57807855764607
1739209706.0366585;-45.120503652039325
1739209706.0366616;-38.13080360867914
1739209706.0366647;-38.13080360867914
1739209706.0366678;-45.120503652039325
1739209706.036671;-45.120503652039325
1739209706.036674;-27.267205301931607
1739209706.0366771;-33.981070128970906
1739209706.0366805;-38.13080360867914
1739209706.0366836;-45.120503652039325
1739209706.0366867;-38.13080360867914
1739209706.0366898;-38.13080360867914
1739209706.0366929;-45.120503652039325
1739209706.036696;-38.13080360867914
1739209706.036699;-38.13080360867914
1739209706.0367022;-45.120503652039325
1739209706.0367053;-38.13080360867914
1739209706.0367084;-38.13080360867914
1739209706.0367115;-35.57807855764607
1739209706.0367148;-35.57807855764607
1739209706.036718;-45.120503652039325
1739209706.036721;-35.57807855764607
1739209706.036724;-38.13080360867914
1739209706.0367272;-38.13080360867914
1739209706.0367303;-38.13080360867914
1739209706.0367334;-45.120503652039325
1739209706.0367365;-38.13080360867914
1739209706.0367396;-35.57807855764607
1739209706.0367427;-33.981070128970906
1739209706.036746;-38.13080360867914
1739209706.0367491;-38.13080360867914
1739209706.0367522;-38.13080360867914
1739209706.0367553;-45.120503652039325
1739209706.0367584;-38.13080360867914
1739209706.0367615;-38.13080360867914
1739209706.0367646;-45.120503652039325
1739209706.0367677;-38.13080360867914
1739209706.0367708;-38.13080360867914
1739209706.036774;-45.120503652039325
1739209706.036777;-38.13080360867914
1739209706.0367804;-38.13080360867914
1739209706.0367835;-45.120503652039325
1739209706.0367866;-38.13080360867914
1739209706.0367897;-32.816014438256545
1739209706.0367928;-45.120503652039325
1739209706.0367959;-45.120503652039325
1739209706.036799;-38.13080360867914
1739209706.036802;-31.141103565318893
1739209706.0368052;-38.13080360867914
1739209706.0368083;-45.120503652039325
1739209706.0368114;-45.120503652039325
1739209706.0368147;-32.816014438256545
1739209706.0368178;-38.13080360867914
1739209706.036821;-45.120503652039325
1739209706.036824;-45.120503652039325
1739209706.036827;-45.120503652039325
1739209706.0368302;-45.120503652039325
1739209706.0368333;-45.120503652039325
1739209706.0368364;-38.13080360867914
1739209706.0368395;-45.120503652039325
1739209706.0368426;-45.120503652039325
1739209706.0368457;-45.120503652039325
1739209706.036849;-45.120503652039325
1739209706.0368521;-35.57807855764607
1739209706.0368552;-38.13080360867914
1739209706.0368583;-45.120503652039325
1739209706.0368614;-45.120503652039325
1739209706.0368645;-38.13080360867914
1739209706.0368676;-38.13080360867914
1739209706.0368707;-33.981070128970906
1739209706.0368738;-38.13080360867914
1739209706.036877;-45.120503652039325
1739209706.0368803;-45.120503652039325
1739209706.0368834;-38.13080360867914
1739209706.0368865;-38.13080360867914
1739209706.0368896;-45.120503652039325
1739209706.0368927;-45.120503652039325
1739209706.0368958;-38.13080360867914
1739209706.0368989;-33.981070128970906
1739209706.036902;-45.120503652039325
1739209706.036905;-45.120503652039325
1739209706.0369081;-38.13080360867914
1739209706.0369112;-38.13080360867914
1739209706.0369146;-35.57807855764607
1739209706.0369177;-38.13080360867914
1739209706.0369208;-45.120503652039325
1739209706.036924;-45.120503652039325
1739209706.036927;-27.8777449560314
1739209706.03693;-32.816014438256545
1739209706.0369332;-45.120503652039325
1739209706.0369363;-38.13080360867914
1739209706.0369394;-35.57807855764607
1739209706.0369425;-38.13080360867914
1739209706.0369458;-38.13080360867914
1739209706.036949;-38.13080360867914
1739209706.036952;-45.120503652039325
1739209706.036955;-45.120503652039325
1739209706.0369582;-45.120503652039325
1739209706.0369613;-38.13080360867914
1739209706.0369644;-35.57807855764607
1739209706.0369675;-38.13080360867914
1739209706.0369706;-45.120503652039325
1739209706.0369737;-45.120503652039325
1739209706.0369768;-38.13080360867914
1739209706.0369802;-45.120503652039325
1739209706.0369833;-35.57807855764607
1739209706.0369864;-38.13080360867914
1739209706.0369895;-45.120503652039325
1739209706.0369925;-45.120503652039325
1739209706.0369956;-38.13080360867914
1739209706.0369987;-45.120503652039325
1739209706.0370018;-28.992665084841942
1739209706.037005;-30.49652367304973
1739209706.037008;-35.57807855764607
1739209706.0370111;-38.13080360867914
1739209706.0370145;-35.57807855764607
1739209706.0370176;-38.13080360867914
1739209706.0370207;-45.120503652039325
1739209706.0370238;-45.120503652039325
1739209706.037027;-45.120503652039325
1739209706.03703;-45.120503652039325
1739209706.037033;-45.120503652039325
1739209706.0370362;-45.120503652039325
1739209706.0370393;-33.981070128970906
1739209706.0370424;-32.816014438256545
1739209706.0370455;-38.13080360867914
1739209706.0370488;-45.120503652039325
1739209706.037052;-38.13080360867914
1739209706.037055;-45.120503652039325
1739209706.037058;-45.120503652039325
1739209706.0370612;-45.120503652039325
1739209706.0370643;-45.120503652039325
1739209706.0370674;-38.13080360867914
1739209706.0370705;-45.120503652039325
1739209706.0370736;-45.120503652039325
1739209706.0370767;-32.816014438256545
1739209706.03708;-33.981070128970906
1739209706.0370831;-38.13080360867914
1739209706.0370862;-35.57807855764607
1739209706.0370893;-35.57807855764607
1739209706.0370924;-38.13080360867914
1739209706.0370955;-45.120503652039325
