CAN Message; 0x62:0a149d1cd2ce2d55
Timestamp;Amplitude
1739209671.4918113;-38.13080360867914
1739209671.4918153;-45.120503652039325
1739209671.4918191;-38.13080360867914
1739209671.4918232;-45.120503652039325
1739209671.4918272;-38.13080360867914
1739209671.4918313;-45.120503652039325
1739209671.491835;-38.13080360867914
1739209671.4918392;-38.13080360867914
1739209671.4918432;-38.13080360867914
1739209671.4918473;-38.13080360867914
1739209671.491851;-45.120503652039325
1739209671.4918551;-45.120503652039325
1739209671.4918592;-45.120503652039325
1739209671.4918633;-38.13080360867914
1739209671.491867;-38.13080360867914
1739209671.491871;-33.981070128970906
1739209671.4918752;-45.120503652039325
1739209671.4918792;-45.120503652039325
1739209671.491883;-38.13080360867914
1739209671.491887;-38.13080360867914
1739209671.4918911;-33.981070128970906
1739209671.4918952;-35.57807855764607
1739209671.491899;-45.120503652039325
1739209671.491903;-45.120503652039325
1739209671.4919071;-38.13080360867914
1739209671.4919112;-35.57807855764607
1739209671.491915;-38.13080360867914
1739209671.491919;-38.13080360867914
1739209671.491923;-45.120503652039325
1739209671.4919271;-45.120503652039325
1739209671.491931;-38.13080360867914
1739209671.491935;-38.13080360867914
1739209671.491939;-38.13080360867914
1739209671.4919431;-45.120503652039325
1739209671.491947;-45.120503652039325
1739209671.491951;-45.120503652039325
1739209671.491955;-45.120503652039325
1739209671.491959;-38.13080360867914
1739209671.491963;-35.57807855764607
1739209671.491967;-38.13080360867914
1739209671.491971;-38.13080360867914
1739209671.491975;-38.13080360867914
1739209671.491979;-45.120503652039325
1739209671.491983;-38.13080360867914
1739209671.491987;-35.57807855764607
1739209671.491991;-38.13080360867914
1739209671.4919949;-45.120503652039325
1739209671.491999;-38.13080360867914
1739209671.492003;-45.120503652039325
1739209671.492007;-45.120503652039325
1739209671.4920108;-45.120503652039325
1739209671.492015;-45.120503652039325
1739209671.492019;-38.13080360867914
1739209671.492023;-45.120503652039325
1739209671.4920268;-45.120503652039325
1739209671.4920309;-45.120503652039325
1739209671.492035;-35.57807855764607
1739209671.492039;-45.120503652039325
1739209671.4920428;-45.120503652039325
1739209671.4920468;-45.120503652039325
1739209671.492051;-35.57807855764607
1739209671.492055;-38.13080360867914
1739209671.4920588;-45.120503652039325
1739209671.4920628;-38.13080360867914
1739209671.4920669;-45.120503652039325
1739209671.492071;-45.120503652039325
1739209671.4920747;-38.13080360867914
1739209671.4920788;-45.120503652039325
1739209671.4920828;-45.120503652039325
1739209671.492087;-45.120503652039325
1739209671.4920907;-45.120503652039325
1739209671.4920948;-45.120503652039325
1739209671.4920988;-35.57807855764607
1739209671.4921029;-38.13080360867914
1739209671.4921067;-45.120503652039325
1739209671.4921107;-38.13080360867914
1739209671.4921148;-35.57807855764607
1739209671.4921188;-38.13080360867914
1739209671.4921227;-45.120503652039325
1739209671.4921267;-45.120503652039325
1739209671.4921308;-45.120503652039325
1739209671.4921348;-45.120503652039325
1739209671.4921386;-38.13080360867914
1739209671.4921427;-38.13080360867914
1739209671.4921467;-45.120503652039325
1739209671.4921508;-45.120503652039325
1739209671.4921546;-38.13080360867914
1739209671.4921587;-38.13080360867914
1739209671.4921627;-45.120503652039325
1739209671.4921668;-45.120503652039325
1739209671.4921706;-45.120503652039325
1739209671.4921746;-45.120503652039325
1739209671.4921787;-33.981070128970906
1739209671.4921827;-45.120503652039325
1739209671.4921865;-38.13080360867914
1739209671.4921906;-45.120503652039325
1739209671.4921947;-31.141103565318893
1739209671.4921987;-30.49652367304973
1739209671.4922025;-45.120503652039325
1739209671.4922066;-45.120503652039325
1739209671.4922106;-45.120503652039325
1739209671.4922147;-38.13080360867914
1739209671.4922185;-38.13080360867914
1739209671.4922225;-45.120503652039325
1739209671.4922266;-38.13080360867914
1739209671.4922307;-45.120503652039325
1739209671.4922345;-38.13080360867914
1739209671.4922385;-45.120503652039325
1739209671.4922426;-38.13080360867914
1739209671.4922466;-45.120503652039325
1739209671.4922504;-32.816014438256545
1739209671.4922545;-45.120503652039325
1739209671.4922585;-31.141103565318893
1739209671.4922626;-28.21854285175415
1739209671.4922664;-45.120503652039325
1739209671.4922705;-45.120503652039325
1739209671.4922745;-35.57807855764607
1739209671.4922786;-35.57807855764607
1739209671.4922824;-45.120503652039325
1739209671.4922864;-45.120503652039325
1739209671.4922905;-45.120503652039325
1739209671.4922945;-45.120503652039325
1739209671.4922984;-45.120503652039325
1739209671.4923024;-45.120503652039325
1739209671.4923065;-38.13080360867914
1739209671.4923105;-45.120503652039325
1739209671.4923143;-45.120503652039325
1739209671.4923184;-45.120503652039325
1739209671.4923224;-32.816014438256545
1739209671.4923265;-29.438486411369333
1739209671.4923303;-45.120503652039325
1739209671.4923344;-45.120503652039325
1739209671.4923384;-35.57807855764607
1739209671.4923425;-35.57807855764607
1739209671.4923463;-45.120503652039325
1739209671.4923503;-45.120503652039325
1739209671.4923544;-45.120503652039325
1739209671.4923584;-45.120503652039325
1739209671.4923623;-38.13080360867914
1739209671.4923663;-38.13080360867914
1739209671.4923704;-45.120503652039325
1739209671.4923744;-38.13080360867914
1739209671.4923782;-38.13080360867914
1739209671.4923823;-45.120503652039325
1739209671.4923863;-38.13080360867914
1739209671.4923904;-45.120503652039325
1739209671.4923942;-45.120503652039325
1739209671.4923983;-45.120503652039325
1739209671.4924023;-38.13080360867914
1739209671.4924064;-45.120503652039325
1739209671.4924102;-45.120503652039325
1739209671.4924142;-45.120503652039325
1739209671.4924183;-38.13080360867914
1739209671.4924223;-30.49652367304973
1739209671.4924262;-38.13080360867914
1739209671.4924302;-45.120503652039325
1739209671.4924343;-45.120503652039325
1739209671.4924383;-32.816014438256545
1739209671.4924421;-45.120503652039325
1739209671.4924462;-45.120503652039325
1739209671.4924502;-45.120503652039325
1739209671.4924543;-38.13080360867914
1739209671.492458;-45.120503652039325
1739209671.4924622;-45.120503652039325
1739209671.4924662;-45.120503652039325
1739209671.4924703;-45.120503652039325
1739209671.492474;-38.13080360867914
