CAN Message; 0x39:023d488a61e37374
Timestamp;Amplitude
1739209831.9985623;-45.120503652039325
1739209831.9985766;-38.13080360867914
1739209831.9985907;-45.120503652039325
1739209831.9986048;-45.120503652039325
1739209831.998619;-45.120503652039325
1739209831.9986331;-45.120503652039325
1739209831.9986472;-45.120503652039325
1739209831.9986615;-32.816014438256545
1739209831.9986756;-33.981070128970906
1739209831.9986897;-32.816014438256545
1739209831.998704;-38.13080360867914
1739209831.998718;-45.120503652039325
1739209831.998732;-45.120503652039325
1739209831.9987464;-32.816014438256545
1739209831.9987605;-45.120503652039325
1739209831.9987745;-45.120503652039325
1739209831.9987888;-45.120503652039325
1739209831.998803;-38.13080360867914
1739209831.998817;-33.981070128970906
1739209831.9988313;-38.13080360867914
1739209831.9988453;-38.13080360867914
1739209831.9988594;-38.13080360867914
1739209831.9988737;-33.981070128970906
1739209831.9988878;-45.120503652039325
1739209831.9989018;-38.13080360867914
1739209831.998916;-35.57807855764607
1739209831.9989302;-45.120503652039325
1739209831.9989443;-45.120503652039325
1739209831.9989583;-38.13080360867914
1739209831.9989727;-45.120503652039325
1739209831.9989867;-45.120503652039325
1739209831.9990008;-45.120503652039325
1739209831.999015;-45.120503652039325
1739209831.9990292;-38.13080360867914
1739209831.9990432;-38.13080360867914
1739209831.9990575;-45.120503652039325
1739209831.9990716;-38.13080360867914
1739209831.9990857;-35.57807855764607
1739209831.9991;-38.13080360867914
1739209831.999114;-45.120503652039325
1739209831.999128;-38.13080360867914
1739209831.9991424;-33.981070128970906
1739209831.9991565;-30.49652367304973
1739209831.9991705;-45.120503652039325
1739209831.9991848;-38.13080360867914
1739209831.999199;-38.13080360867914
1739209831.999213;-33.981070128970906
1739209831.9992273;-38.13080360867914
1739209831.9992414;-38.13080360867914
1739209831.9992554;-38.13080360867914
1739209831.9992697;-38.13080360867914
1739209831.9992838;-38.13080360867914
1739209831.9992979;-45.120503652039325
1739209831.9993122;-45.120503652039325
1739209831.9993262;-38.13080360867914
1739209831.9993403;-45.120503652039325
1739209831.9993546;-38.13080360867914
1739209831.9993687;-38.13080360867914
1739209831.9993827;-31.141103565318915
1739209831.999397;-35.57807855764607
1739209831.999411;-38.13080360867914
1739209831.9994252;-45.120503652039325
1739209831.9994395;-38.13080360867914
1739209831.9994535;-45.120503652039325
1739209831.9994676;-45.120503652039325
1739209831.999482;-45.120503652039325
1739209831.999496;-31.14110356531892
1739209831.99951;-38.13080360867914
1739209831.9995244;-33.981070128970906
1739209831.9995384;-45.120503652039325
1739209831.9995525;-33.981070128970906
1739209831.9995666;-32.816014438256545
1739209831.9995809;-45.120503652039325
1739209831.999595;-45.120503652039325
1739209831.999609;-38.13080360867914
1739209831.9996233;-38.13080360867914
1739209831.9996374;-45.120503652039325
1739209831.9996514;-45.120503652039325
1739209831.9996657;-33.981070128970906
1739209831.9996798;-32.816014438256545
1739209831.9996939;-33.981070128970906
1739209831.9997082;-45.120503652039325
1739209831.9997222;-33.981070128970906
1739209831.9997363;-38.13080360867914
1739209831.9997506;-45.120503652039325
1739209831.9997647;-45.120503652039325
1739209831.9997787;-45.120503652039325
1739209831.999793;-45.120503652039325
1739209831.9998071;-38.13080360867914
1739209831.9998212;-45.120503652039325
1739209831.9998355;-45.120503652039325
1739209831.9998496;-38.13080360867914
1739209831.9998636;-45.120503652039325
1739209831.999878;-45.120503652039325
1739209831.999892;-45.120503652039325
1739209831.999906;-45.120503652039325
1739209831.9999204;-45.120503652039325
1739209831.9999344;-33.981070128970906
1739209831.9999485;-35.57807855764607
1739209831.9999628;-38.13080360867914
1739209831.9999769;-38.13080360867914
1739209831.999991;-38.13080360867914
1739209832.0000052;-45.120503652039325
1739209832.0000193;-35.57807855764607
1739209832.0000334;-45.120503652039325
1739209832.0000477;-38.13080360867914
1739209832.0000618;-45.120503652039325
1739209832.0000758;-45.120503652039325
1739209832.0000901;-38.13080360867914
1739209832.0001042;-38.13080360867914
1739209832.0001183;-38.13080360867914
1739209832.0001326;-45.120503652039325
1739209832.0001466;-45.120503652039325
1739209832.0001607;-45.120503652039325
1739209832.000175;-38.13080360867914
1739209832.000189;-38.13080360867914
1739209832.0002031;-45.120503652039325
1739209832.0002172;-38.13080360867914
1739209832.0002315;-32.816014438256545
1739209832.0002456;-31.141103565318893
1739209832.0002596;-35.57807855764607
1739209832.000274;-33.981070128970906
1739209832.000288;-38.13080360867914
1739209832.000302;-35.57807855764607
1739209832.0003164;-45.120503652039325
1739209832.0003304;-35.57807855764607
1739209832.0003445;-38.13080360867914
1739209832.0003588;-35.57807855764607
1739209832.000373;-45.120503652039325
1739209832.000387;-45.120503652039325
1739209832.0004013;-45.120503652039325
1739209832.0004153;-38.13080360867914
1739209832.0004294;-45.120503652039325
1739209832.0004437;-38.13080360867914
1739209832.0004578;-38.13080360867914
1739209832.0004718;-45.120503652039325
1739209832.0004861;-35.57807855764607
1739209832.0005002;-35.57807855764607
1739209832.0005143;-38.13080360867914
1739209832.0005286;-31.141103565318893
1739209832.0005426;-33.981070128970906
