CAN Message; 0x39:051e94638dba244a
Timestamp;Amplitude
1739209694.6717947;-38.13080360867914
1739209694.6718044;-45.120503652039325
1739209694.6718144;-45.120503652039325
1739209694.6718242;-35.57807855764607
1739209694.6718342;-45.120503652039325
1739209694.6718442;-35.57807855764607
1739209694.671854;-38.13080360867914
1739209694.671864;-45.120503652039325
1739209694.6718738;-38.13080360867914
1739209694.6718838;-38.13080360867914
1739209694.6718936;-38.13080360867914
1739209694.6719036;-45.120503652039325
1739209694.6719136;-38.13080360867914
1739209694.6719234;-38.13080360867914
1739209694.6719334;-38.13080360867914
1739209694.6719432;-45.120503652039325
1739209694.6719532;-45.120503652039325
1739209694.6719632;-45.120503652039325
1739209694.671973;-38.13080360867914
1739209694.671983;-32.816014438256545
1739209694.6719928;-45.120503652039325
1739209694.6720028;-45.120503652039325
1739209694.6720128;-45.120503652039325
1739209694.6720226;-32.816014438256545
1739209694.6720326;-38.13080360867914
1739209694.6720424;-45.120503652039325
1739209694.6720524;-38.13080360867914
1739209694.6720624;-45.120503652039325
1739209694.6720722;-45.120503652039325
1739209694.6720822;-38.13080360867914
1739209694.672092;-38.13080360867914
1739209694.672102;-45.120503652039325
1739209694.6721117;-38.13080360867914
1739209694.6721218;-38.13080360867914
1739209694.6721318;-45.120503652039325
1739209694.6721416;-45.120503652039325
1739209694.6721516;-45.120503652039325
1739209694.6721613;-45.120503652039325
1739209694.6721714;-45.120503652039325
1739209694.6721814;-32.816014438256545
1739209694.6721911;-38.13080360867914
1739209694.6722012;-38.13080360867914
1739209694.672211;-38.13080360867914
1739209694.672221;-38.13080360867914
1739209694.672231;-38.13080360867914
1739209694.6722407;-32.816014438256545
1739209694.6722507;-33.981070128970906
1739209694.6722605;-45.120503652039325
1739209694.6722705;-38.13080360867914
1739209694.6722806;-29.438486411369333
1739209694.6722903;-38.13080360867914
1739209694.6723003;-33.981070128970956
1739209694.67231;-38.13080360867914
1739209694.6723201;-45.120503652039325
1739209694.67233;-38.13080360867914
1739209694.67234;-45.120503652039325
1739209694.67235;-45.120503652039325
1739209694.6723597;-45.120503652039325
1739209694.6723697;-45.120503652039325
1739209694.6723795;-31.141103565318915
1739209694.6723895;-35.57807855764607
1739209694.6723995;-35.57807855764607
1739209694.6724093;-38.13080360867914
1739209694.6724193;-38.13080360867914
1739209694.672429;-33.981070128970906
1739209694.672439;-38.13080360867914
1739209694.672449;-45.120503652039325
1739209694.672459;-45.120503652039325
1739209694.672469;-38.13080360867914
1739209694.6724787;-38.13080360867914
1739209694.6724887;-38.13080360867914
1739209694.6724987;-38.13080360867914
1739209694.6725085;-45.120503652039325
1739209694.6725185;-38.13080360867914
1739209694.6725283;-45.120503652039325
1739209694.6725383;-32.816014438256545
1739209694.672548;-45.120503652039325
1739209694.672558;-45.120503652039325
1739209694.672568;-45.120503652039325
1739209694.6725779;-38.13080360867914
1739209694.6725879;-38.13080360867914
1739209694.6725976;-45.120503652039325
1739209694.6726077;-38.13080360867914
1739209694.6726177;-38.13080360867914
1739209694.6726274;-45.120503652039325
1739209694.6726375;-45.120503652039325
1739209694.6726472;-45.120503652039325
1739209694.6726573;-45.120503652039325
1739209694.6726673;-38.13080360867914
1739209694.672677;-38.13080360867914
1739209694.672687;-38.13080360867914
1739209694.6726968;-38.13080360867914
1739209694.6727068;-38.13080360867914
1739209694.6727169;-45.120503652039325
1739209694.6727266;-38.13080360867914
1739209694.6727366;-38.13080360867914
1739209694.6727464;-45.120503652039325
1739209694.6727564;-45.120503652039325
1739209694.6727662;-38.13080360867914
1739209694.6727762;-33.981070128970906
1739209694.6727862;-31.141103565318915
1739209694.672796;-45.120503652039325
1739209694.672806;-38.13080360867914
1739209694.6728158;-45.120503652039325
1739209694.6728258;-45.120503652039325
1739209694.6728358;-33.981070128970906
1739209694.6728456;-38.13080360867914
1739209694.6728556;-38.13080360867914
1739209694.6728654;-31.14110356531892
